model,epoch,average_loss,accuracy,correct_data,total_data
1,1,2.724706124310074,51.47369591814036,4628,8991
2,1,1.0727260196292483,66.97808920031142,6022,8991
3,1,1.3704324806509527,66.32187743298854,5963,8991
4,1,1.443601566909113,58.49182515849183,5259,8991
5,1,2.1532256582822513,55.93371148926705,5029,8991
global,1,2.254979860502864,17.183850517183853,1545,8991
1,2,2.6483323007387813,52.10766321877433,4685,8991
2,2,1.0192258321672774,68.02357913469025,6116,8991
3,2,1.3826372462482557,66.6555444333222,5993,8991
4,2,1.345897349562426,63.418974530085634,5702,8991
5,2,2.1421713966401024,56.11166722277834,5045,8991
global,2,2.2171728477609554,20.79857635413191,1870,8991
1,3,2.666695913951875,52.441330219107996,4715,8991
2,3,1.0475024226615803,67.46746746746747,6066,8991
3,3,1.3469187596817196,67.02257813368925,6026,8991
4,3,1.4010676953673509,60.03781559337115,5398,8991
5,3,2.115526509277018,56.578801023245475,5087,8991
global,3,2.1864945169100305,23.467912356801246,2110,8991
1,4,2.657971772160072,50.69513958402847,4558,8991
2,4,1.0078650219874552,68.2349015682349,6135,8991
3,4,1.3585858057052007,67.99021243465688,6113,8991
4,4,1.4207849821833824,59.03681459237015,5308,8991
5,4,2.0679932005505397,58.05805805805806,5220,8991
global,4,2.157454350543306,25.392058725392058,2283,8991
1,5,2.5955445080972357,51.495940384829275,4630,8991
2,5,1.0392383004359205,68.16816816816817,6129,8991
3,5,1.3280391780092538,67.31175620064509,6052,8991
4,5,1.3346961684041898,62.796129462796124,5646,8991
5,5,2.0527896043151443,57.023690357023696,5127,8991
global,5,2.1282974606347342,26.904682460238018,2419,8991
1,6,2.562229045757183,51.673896118340565,4646,8991
2,6,1.0203126182467053,67.6565454343232,6083,8991
3,6,1.358447335291699,66.6110554999444,5989,8991
4,6,1.3509120811756852,62.99632966299633,5664,8991
5,6,2.058726840124766,57.12379045712379,5136,8991
global,6,2.1041285222396877,28.484039595150705,2561,8991
1,7,2.5271221157070154,51.69614058502947,4648,8991
2,7,1.0457771639844597,67.42297853408965,6062,8991
3,7,1.2758356704686458,69.0357023690357,6207,8991
4,7,1.3283699514231841,62.39572906239573,5610,8991
5,7,2.0485250354012052,56.77900122344567,5105,8991
global,7,2.0813534278093195,29.45167389611834,2648,8991
1,8,2.565018113443576,51.88521855188522,4665,8991
2,8,1.0127322888854295,67.48971193415639,6068,8991
3,8,1.3344314599803526,66.96696696696696,6021,8991
4,8,1.3539183082788464,60.70514959403849,5458,8991
5,8,2.021385879355375,58.05805805805806,5220,8991
global,8,2.058612310532375,30.33033033033033,2727,8991
1,9,2.5642377293132435,52.207763318874434,4694,8991
2,9,0.9609712722264093,67.89011233455678,6104,8991
3,9,1.335552776685852,66.58881103325548,5987,8991
4,9,1.3537861329007501,61.11667222778334,5495,8991
5,9,1.9839453283001698,59.10354799243688,5314,8991
global,9,2.0359704356320294,31.25347569792014,2810,8991
1,10,2.512346497871841,51.88521855188522,4665,8991
2,10,1.0063299489437625,68.29051273495718,6140,8991
3,10,1.288983195791413,68.26826826826827,6138,8991
4,10,1.37829694852934,59.18140362584807,5321,8991
5,10,2.0221928636909206,58.10254699143588,5224,8991
global,10,2.01415324982779,31.68724279835391,2849,8991
1,11,2.484694738751881,51.69614058502947,4648,8991
2,11,1.0055997732046011,67.79001223445668,6095,8991
3,11,1.3099187739154492,68.37949060171282,6148,8991
4,11,1.3408831945450497,60.61617172728284,5450,8991
5,11,1.9852760297121665,59.30374819263709,5332,8991
global,11,1.9920530899416127,32.176621065509956,2893,8991
1,12,2.5248070420816866,51.762873985096206,4654,8991
2,12,0.9919316723831715,68.8577466355244,6191,8991
3,12,1.3358306647169087,67.37848960071182,6058,8991
4,12,1.3831800592978503,59.27038149260372,5329,8991
5,12,1.9622676638498306,58.54743632521411,5264,8991
global,12,1.9724724088305428,32.955177399621846,2963,8991
1,13,2.4243626162308685,52.441330219107996,4715,8991
2,13,1.001488556308723,68.44622400177956,6154,8991
3,13,1.3165407584912385,67.5342008675342,6072,8991
4,13,1.3457650184737417,60.10454899343788,5404,8991
5,13,1.99011122744177,57.78000222444667,5195,8991
global,13,1.958023537996547,33.14425536647759,2980,8991
1,14,2.401429122977415,52.029807585363145,4678,8991
2,14,0.9503395995737355,68.17929040151263,6130,8991
3,14,1.2640232295775728,69.21365810254699,6223,8991
4,14,1.2874726796227107,63.15204092981871,5678,8991
5,14,1.956267765771957,58.65865865865866,5274,8991
global,14,1.9392089826778818,33.7671004337671,3036,8991
1,15,2.4488612147303552,51.495940384829275,4630,8991
2,15,0.9110573539610846,69.32488043599155,6233,8991
3,15,1.2566377817755772,68.52407963519074,6161,8991
4,15,1.3452294678168837,60.16016016016016,5409,8991
5,15,1.9402077608784185,59.37048159270382,5338,8991
global,15,1.9223502753852486,34.20086753420087,3075,8991
