0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.03491917847361403,0.8264219350380131,0.20176401109053996,0.06788545544070436,0.726135144299454,0.36949198936565086,0.36144272391954196,0.9328349873896142,0.9328349873896142,0.8264219350380131
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.07771278584194781,0.834772016960347,0.18716841888289443,0.08325797308044196,0.8447150982673104,0.1256309550157926,0.36811016694996074,0.9326422134329131,0.9326422134329131,0.8447150982673104
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,0.9590342641204663,1.0,0.0,0.0,0.0
0.08793465922291423,0.8494633214988635,0.1833690598529742,0.12698226565232426,0.8008237468857414,0.441099992947175,0.3748753197228299,0.9402745533270344,0.9402745533270344,0.8494633214988635
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.3420778073622894,0.8364786399637226,0.17253540823478408,0.3420778073622894,0.8147550768973778,0.43753464840818507,0.3175397007648696,0.9259115638884546,0.9259115638884546,0.8364786399637226
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.03734354674097926,0.8334376614243169,0.2044150709669201,0.05899481950700298,0.7136607198880762,0.36920117739717184,0.33914978000100343,0.9330092286020525,0.9330092286020525,0.8334376614243169
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.10683581872852876,1.0,1.0,0.0,0.0,0.0
0.1983776546228241,0.8483394410979822,0.21584459252845278,0.1983776546228241,0.6769816096034796,0.21295550240761899,0.26810445337068173,0.9382274569583335,0.9382274569583335,0.8483394410979822
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,0.7642245738363096,1.0,0.0,0.0,0.0
0.11810106160173613,0.846255522412844,0.20908540650615742,0.11810106160173613,0.7142771880367043,0.5011322584531822,0.3470307725681119,0.9372747529527419,0.9372747529527419,0.846255522412844
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.3444185753530311,0.8271903002723505,0.23101644563486334,0.3444185753530311,0.8411692887199814,0.4781386816940709,0.330232579339843,0.9333374911908583,0.9333374911908583,0.8411692887199814
0,1,2,3,4,5,6,7,8,9
0.8541145721448127,0.0,1.0,0.8541145721448127,0.0,0.1867609236003619,1.0,0.0,0.0,0.0
0.5369425935823742,0.8296822713761084,0.21197142634595542,0.5369425935823742,0.8382773569575009,0.6671963727486899,0.41515991479426445,0.9307038221682674,0.9307038221682674,0.8382773569575009
0,1,2,3,4,5,6,7,8,9
0.3106993848859285,0.0,1.0,0.3106993848859285,0.0,0.0,1.0,0.0,0.0,0.0
0.6193179542099643,0.8130772560629606,0.15930018551031025,0.6193179542099643,0.8120982269627774,0.7465195174366682,0.2855764941155211,0.9366068919091709,0.9366068919091709,0.8130772560629606
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.47396361865299863,0.8324384537679416,0.16198313251211027,0.47396361865299863,0.8316890122030148,0.8316890122030148,0.43341639331724535,0.933300224906419,0.933300224906419,0.8324384537679416
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,0.21957771506633705,1.0,0.0,0.0,0.0
0.25206317061239725,0.8277632973933042,0.14827965653977565,0.25206317061239725,0.7792728940475628,0.6334619369848199,0.31427246819242516,0.9229317731800416,0.9229317731800416,0.8277632973933042
0,1,2,3,4,5,6,7,8,9
0.7882409735522292,0.0,1.0,0.7882409735522292,0.0,0.0,1.0,0.0,0.0,0.0
0.5163985137349395,0.8222287348240966,0.1539000564502819,0.5163985137349395,0.7428684346887383,0.6809227105951364,0.3687028874620051,0.927421375175453,0.927421375175453,0.8222287348240966
0,1,2,3,4,5,6,7,8,9
0.4225046259408757,0.0,1.0,0.4225046259408757,0.0,0.0,1.0,0.0,0.0,0.0
0.6133774818224219,0.8357770074845794,0.1956019906205362,0.6133774818224219,0.7934932302057237,0.7934932302057237,0.4382056346251304,0.9243016402835683,0.9243016402835683,0.8357770074845794
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,0.016738751408422625,1.0,0.0,0.0,0.0
0.49864735716904196,0.7888429613200535,0.22438631718523352,0.49864735716904196,0.8593145449781102,0.7041170888573063,0.4641795445950815,0.9305559007513661,0.9305559007513661,0.8593145449781102
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4963879749892528,0.8736517544159251,0.21496046250013864,0.4963879749892528,0.7061785976590567,0.7107509292193839,0.29770456373516396,0.9210577687336257,0.9210577687336257,0.8736517544159251
0,1,2,3,4,5,6,7,8,9
0.18513157562091198,0.0,1.0,0.18513157562091198,0.0,0.0,1.0,0.0,0.0,0.0
0.6324680509062678,0.8332899721298334,0.12892023456194007,0.6324680509062678,0.8886579070373031,0.8886579070373031,0.37715860647776694,0.9251008111721976,0.9251008111721976,0.8332899721298334
0,1,2,3,4,5,6,7,8,9
0.290964587338835,0.0,1.0,0.290964587338835,0.0,0.0,1.0,0.0,0.0,0.0
0.60497037136749,0.8532036309321505,0.1181008402476293,0.60497037136749,0.8111005598575797,0.8111005598575797,0.30606754923597657,0.9228291786060973,0.9228291786060973,0.8532036309321505
0,1,2,3,4,5,6,7,8,9
0.33633216789669074,0.0,1.0,0.33633216789669074,0.0,0.0,1.0,0.0,0.0,0.0
0.6282506047231382,0.8489892930910754,0.1903956111113126,0.6282506047231382,0.8219855496499022,0.7016029087443727,0.3624542085848839,0.9263421763972393,0.9263421763972393,0.8489892930910754
0,1,2,3,4,5,6,7,8,9
1.0,0.0,1.0,1.0,0.0,0.0,0.8512891252881822,0.0,0.0,0.0
0.3691999094440991,0.7796992947509107,0.14490459838255793,0.3691999094440991,0.8832722679015654,0.8832722679015654,0.4981187246750176,0.9313114061218418,0.9313114061218418,0.7796992947509107
0,1,2,3,4,5,6,7,8,9
0.4256786790956152,0.0,1.0,0.4256786790956152,0.0,0.0,1.0,0.0,0.0,0.0
0.609156618275039,0.8437375627181518,0.18815855120187994,0.609156618275039,0.7722929259903455,0.7722929259903455,0.3206333059522376,0.9243276508426858,0.9243276508426858,0.8437375627181518
0,1,2,3,4,5,6,7,8,9
0.4245584970654419,0.0,1.0,0.4245584970654419,0.0,0.0,1.0,0.0,0.0,0.0
0.5864258417383259,0.8288487569073761,0.1404439524798261,0.5864258417383259,0.8665456557980412,0.8665456557980412,0.3756844162438734,0.9211578422669064,0.9211578422669064,0.8288487569073761
0,1,2,3,4,5,6,7,8,9
0.6026038666376381,0.0,1.0,0.6026038666376381,0.0,0.0,1.0,0.0,0.0,0.0
