model,epoch,average_loss,accuracy,correct_data,total_data
23,1,0.41726829302667606,87.84339895451006,7898,8991
72,1,0.4990448881184719,84.81815148481815,7626,8991
61,1,0.48101172109372015,85.14069625180737,7655,8991
11,1,0.7645333941050968,76.27627627627628,6858,8991
71,1,0.39422046577369607,88.18818818818819,7929,8991
42,1,0.40891755243758976,87.44299855410966,7862,8991
45,1,0.40458950101699465,88.33277722166612,7942,8991
37,1,2.1664102923656623,20.631742853965076,1855,8991
21,1,0.4710593278197767,85.6078300522745,7697,8991
35,1,0.6278894487231848,78.26715604493383,7037,8991
global,1,2.176892572164721,55.28862195528862,4971,8991
11,2,0.4202191956700081,86.49760871983094,7777,8991
59,2,0.3210356035562421,91.05772439105773,8187,8991
62,2,0.28668981022198886,91.4914914914915,8226,8991
28,2,0.26394012965822944,91.96974752530308,8269,8991
65,2,0.2863819203776123,91.20231342453565,8200,8991
22,2,0.3087867026254261,90.95762429095763,8178,8991
78,2,0.28839973326241686,91.62495829162496,8238,8991
58,2,0.34984522000553475,89.57846735624514,8054,8991
41,2,0.37199070408298923,89.233678122567,8023,8991
global,2,1.435741954909961,52.73050828606384,4741,8991
54,3,0.31627978465538803,91.53598042486931,8230,8991
55,3,0.2448811913713997,92.8928928928929,8352,8991
61,3,0.2981839516764554,91.33578022466912,8212,8991
73,3,0.2417082063163458,92.73718162607052,8338,8991
18,3,0.2784507129842296,91.5915915915916,8235,8991
42,3,0.27247907836688345,92.32565899232566,8301,8991
41,3,0.2644619468109399,91.8918918918919,8262,8991
50,3,0.23670666820546063,93.0152374596819,8363,8991
28,3,0.24312944571866618,92.23668112557002,8293,8991
global,3,0.8006041512687139,76.57657657657657,6885,8991
37,4,0.28844736463275,91.82515849182515,8256,8991
76,4,0.24874407817359867,92.33678122567012,8302,8991
13,4,0.2236313627898766,92.8928928928929,8352,8991
74,4,0.1834494041635494,94.65020576131687,8510,8991
45,4,0.20961840682957306,94.116338560783,8462,8991
44,4,0.21127314907519892,93.87164942720499,8440,8991
global,4,0.6306704460825436,80.79190301412524,7264,8991
60,5,0.20552618286657645,94.3943943943944,8487,8991
49,5,0.19148367600265434,94.37214992770548,8485,8991
65,5,0.16552601608653553,95.01723946168391,8543,8991
14,5,0.2079633855538617,93.7937937937938,8433,8991
36,5,0.20138854828523642,93.84940496051607,8438,8991
24,5,0.21644230254724525,93.72706039372706,8427,8991
7,5,0.18376314694405982,94.50561672783894,8497,8991
4,5,0.16691340050804987,95.08397286175064,8549,8991
76,5,0.23944920117803895,92.57034812590368,8323,8991
39,5,0.16864047928303796,95.03948392837282,8545,8991
global,5,0.4025229740535281,87.7321766210655,7888,8991
26,6,0.18928503439935823,94.65020576131687,8510,8991
29,6,0.18209318874834535,94.72806139472806,8517,8991
4,6,0.15462485498401404,95.46212879546214,8583,8991
41,6,0.1651017614021382,94.88377266155044,8531,8991
67,6,0.19941110724191513,94.07184962740519,8458,8991
76,6,0.20958536154647622,93.50461572683795,8407,8991
8,6,0.1340468651115291,95.80691802914025,8614,8991
25,6,0.15516470844522093,95.27305082860639,8566,8991
