local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,1,1,1,tensor(0.0421),31.63265306122449,186,588
72,1,1,1,tensor(0.0441),33.459357277882795,177,529
61,1,1,1,tensor(0.0433),31.098696461824954,167,537
11,1,1,1,tensor(0.0391),29.503105590062113,190,644
71,1,1,1,tensor(0.0422),36.677115987460816,234,638
42,1,1,1,tensor(0.0405),36.2406015037594,241,665
45,1,1,1,tensor(0.0379),33.86666666666667,254,750
37,1,1,1,tensor(0.0398),36.505460218408736,234,641
21,1,1,1,tensor(0.0406),38.879999999999995,243,625
35,1,1,1,tensor(0.0411),24.34077079107505,120,493
11,2,2,1,tensor(0.0381),32.7639751552795,211,644
59,2,2,1,tensor(0.0431),36.65644171779141,239,652
62,2,2,1,tensor(0.0431),31.280388978930308,193,617
28,2,2,1,tensor(0.0406),31.879699248120303,212,665
65,2,2,1,tensor(0.0439),33.1588132635253,190,573
22,2,2,1,tensor(0.0419),37.664783427495294,200,531
78,2,2,1,tensor(0.0428),32.371794871794876,202,624
58,2,2,1,tensor(0.0455),34.11764705882353,174,510
41,2,2,1,tensor(0.0401),45.5521472392638,297,652
81,2,2,1,tensor(0.0422),34.641638225255974,203,586
54,3,3,1,tensor(0.0423),44.35946462715105,232,523
55,3,3,1,tensor(0.0409),43.75,259,592
61,3,3,1,tensor(0.0415),40.4096834264432,217,537
73,3,3,1,tensor(0.0410),41.21405750798722,258,626
18,3,3,1,tensor(0.0420),26.937984496124027,139,516
42,3,3,1,tensor(0.0391),43.45864661654135,289,665
87,3,3,1,tensor(0.0399),43.47826086956522,250,575
41,3,3,1,tensor(0.0403),52.760736196319016,344,652
50,3,3,1,tensor(0.0418),50.84388185654009,241,474
28,3,3,1,tensor(0.0388),42.40601503759399,282,665
37,4,4,1,tensor(0.0373),52.106084243369736,334,641
92,4,4,1,tensor(0.0410),45.709281961471106,261,571
95,4,4,1,tensor(0.0401),53.383458646616546,284,532
76,4,4,1,tensor(0.0419),46.52509652509653,241,518
13,4,4,1,tensor(0.0397),54.702495201535505,285,521
99,4,4,1,tensor(0.0405),46.58536585365854,191,410
94,4,4,1,tensor(0.0416),47.927927927927925,266,555
74,4,4,1,tensor(0.0414),43.9297124600639,275,626
45,4,4,1,tensor(0.0356),41.733333333333334,313,750
44,4,4,1,tensor(0.0406),53.0888030888031,275,518
60,5,5,1,tensor(0.0385),46.58385093167702,300,644
49,5,5,1,tensor(0.0404),55.81395348837209,288,516
65,5,5,1,tensor(0.0410),52.879581151832454,303,573
14,5,5,1,tensor(0.0384),45.23364485981308,242,535
36,5,5,1,tensor(0.0395),49.61538461538461,258,520
24,5,5,1,tensor(0.0378),58.82352941176471,340,578
7,5,5,1,tensor(0.0376),52.0,286,550
4,5,5,1,tensor(0.0375),55.877342419080065,328,587
76,5,5,1,tensor(0.0407),52.8957528957529,274,518
39,5,5,1,tensor(0.0418),50.89463220675944,256,503
26,6,6,1,tensor(0.0372),51.71102661596958,272,526
29,6,6,1,tensor(0.0382),68.26446280991736,413,605
4,6,6,1,tensor(0.0358),63.03236797274276,370,587
41,6,6,1,tensor(0.0360),63.80368098159509,416,652
99,6,6,1,tensor(0.0378),60.97560975609756,250,410
67,6,6,1,tensor(0.0376),52.56609642301711,338,643
91,6,6,1,tensor(0.0386),48.484848484848484,304,627
76,6,6,1,tensor(0.0394),60.424710424710426,313,518
8,6,6,1,tensor(0.0348),65.59297218155197,448,683
25,6,6,1,tensor(0.0373),59.106529209621996,344,582
66,7,7,1,tensor(0.0379),50.71542130365659,319,629
68,7,7,1,tensor(0.0376),56.0126582278481,354,632
59,7,7,1,tensor(0.0379),56.44171779141104,368,652
62,7,7,1,tensor(0.0386),54.29497568881686,335,617
31,7,7,1,tensor(0.0385),62.03522504892368,317,511
10,7,7,1,tensor(0.0365),51.22377622377622,293,572
23,7,7,1,tensor(0.0369),55.952380952380956,329,588
7,7,7,1,tensor(0.0358),54.72727272727273,301,550
99,7,7,1,tensor(0.0366),70.0,287,410
45,7,7,1,tensor(0.0329),55.60000000000001,417,750
63,8,8,1,tensor(0.0385),55.519480519480524,342,616
55,8,8,1,tensor(0.0368),65.2027027027027,386,592
79,8,8,1,tensor(0.0364),59.055118110236215,375,635
9,8,8,1,tensor(0.0352),63.138686131386855,346,548
62,8,8,1,tensor(0.0381),47.9740680713128,296,617
56,8,8,1,tensor(0.0380),53.35463258785943,334,626
96,8,8,1,tensor(0.0356),63.81578947368421,388,608
12,8,8,1,tensor(0.0349),54.60636515912898,326,597
92,8,8,1,tensor(0.0374),55.166374781085814,315,571
86,8,8,1,tensor(0.0363),54.68483816013629,321,587
28,9,9,1,tensor(0.0346),58.49624060150376,389,665
63,9,9,1,tensor(0.0381),57.14285714285714,352,616
33,9,9,1,tensor(0.0335),66.77115987460816,426,638
71,9,9,1,tensor(0.0359),61.59874608150471,393,638
13,9,9,1,tensor(0.0352),70.05758157389636,365,521
32,9,9,1,tensor(0.0344),53.36617405582923,325,609
76,9,9,1,tensor(0.0377),64.28571428571429,333,518
97,9,9,1,tensor(0.0355),54.59183673469388,321,588
23,9,9,1,tensor(0.0354),60.71428571428571,357,588
25,9,9,1,tensor(0.0356),67.69759450171821,394,582
12,10,10,1,tensor(0.0340),58.62646566164153,350,597
56,10,10,1,tensor(0.0364),63.418530351437695,397,626
19,10,10,1,tensor(0.0334),65.21739130434783,360,552
11,10,10,1,tensor(0.0317),63.50931677018633,409,644
13,10,10,1,tensor(0.0343),67.56238003838772,352,521
78,10,10,1,tensor(0.0365),61.858974358974365,386,624
49,10,10,1,tensor(0.0355),67.82945736434108,350,516
34,10,10,1,tensor(0.0349),66.09848484848484,349,528
14,10,10,1,tensor(0.0339),57.570093457943926,308,535
99,10,10,1,tensor(0.0335),79.02439024390245,324,410
53,11,11,1,tensor(0.0359),56.72609400324149,350,617
56,11,11,1,tensor(0.0359),64.37699680511182,403,626
51,11,11,1,tensor(0.0332),62.132921174652246,402,647
14,11,11,1,tensor(0.0334),62.42990654205608,334,535
36,11,11,1,tensor(0.0341),71.92307692307692,374,520
6,11,11,1,tensor(0.0336),67.65536723163842,479,708
46,11,11,1,tensor(0.0340),70.0836820083682,335,478
99,11,11,1,tensor(0.0319),78.04878048780488,320,410
88,11,11,1,tensor(0.0347),64.65390279823269,439,679
37,11,11,1,tensor(0.0316),67.70670826833073,434,641
42,12,12,1,tensor(0.0322),63.00751879699248,419,665
17,12,12,1,tensor(0.0312),75.15432098765432,487,648
2,12,12,1,tensor(0.0332),67.58620689655173,392,580
64,12,12,1,tensor(0.0356),64.13427561837456,363,566
6,12,12,1,tensor(0.0332),68.78531073446328,487,708
38,12,12,1,tensor(0.0306),61.49870801033591,476,774
37,12,12,1,tensor(0.0310),69.26677067082684,444,641
44,12,12,1,tensor(0.0340),68.33976833976834,354,518
77,12,12,1,tensor(0.0367),61.27167630057804,318,519
4,12,12,1,tensor(0.0320),68.14310051107326,400,587
24,13,13,1,tensor(0.0317),68.33910034602077,395,578
38,13,13,1,tensor(0.0295),66.79586563307494,517,774
52,13,13,1,tensor(0.0355),61.97411003236246,383,618
10,13,13,1,tensor(0.0326),61.18881118881119,350,572
11,13,13,1,tensor(0.0298),68.16770186335404,439,644
76,13,13,1,tensor(0.0349),69.1119691119691,358,518
97,13,13,1,tensor(0.0330),65.3061224489796,384,588
7,13,13,1,tensor(0.0317),70.72727272727273,389,550
70,13,13,1,tensor(0.0334),60.65573770491803,333,549
14,13,13,1,tensor(0.0319),64.11214953271028,343,535
95,14,14,1,tensor(0.0321),72.36842105263158,385,532
97,14,14,1,tensor(0.0325),65.47619047619048,385,588
12,14,14,1,tensor(0.0313),67.16917922948073,401,597
89,14,14,1,tensor(0.0339),65.66265060240963,436,664
25,14,14,1,tensor(0.0321),73.3676975945017,427,582
34,14,14,1,tensor(0.0319),70.83333333333334,374,528
55,14,14,1,tensor(0.0331),68.75,407,592
67,14,14,1,tensor(0.0329),68.58475894245724,441,643
56,14,14,1,tensor(0.0341),64.85623003194888,406,626
2,14,14,1,tensor(0.0320),66.37931034482759,385,580
4,15,15,1,tensor(0.0294),73.25383304940375,430,587
1,15,15,1,tensor(0.0317),70.95709570957096,430,606
20,15,15,1,tensor(0.0326),68.35443037974683,378,553
48,15,15,1,tensor(0.0283),66.383701188455,391,589
55,15,15,1,tensor(0.0319),70.6081081081081,418,592
98,15,15,1,tensor(0.0284),76.23239436619718,433,568
27,15,15,1,tensor(0.0294),67.53846153846153,439,650
42,15,15,1,tensor(0.0294),69.77443609022556,464,665
0,15,15,1,tensor(0.0336),65.1888341543514,397,609
44,15,15,1,tensor(0.0316),77.22007722007721,400,518
25,16,16,1,tensor(0.0307),72.5085910652921,422,582
8,16,16,1,tensor(0.0286),73.49926793557833,502,683
12,16,16,1,tensor(0.0301),69.68174204355108,416,597
99,16,16,1,tensor(0.0283),85.1219512195122,349,410
53,16,16,1,tensor(0.0326),68.55753646677472,423,617
26,16,16,1,tensor(0.0299),79.27756653992395,417,526
60,16,16,1,tensor(0.0309),69.72049689440993,449,644
63,16,16,1,tensor(0.0336),64.93506493506493,400,616
52,16,16,1,tensor(0.0333),69.25566343042071,428,618
90,16,16,1,tensor(0.0326),68.80415944540728,397,577
66,17,17,1,tensor(0.0317),66.29570747217805,417,629
33,17,17,1,tensor(0.0285),71.63009404388715,457,638
56,17,17,1,tensor(0.0327),69.96805111821087,438,626
97,17,17,1,tensor(0.0311),64.96598639455783,382,588
10,17,17,1,tensor(0.0306),70.1048951048951,401,572
13,17,17,1,tensor(0.0291),75.62380038387715,394,521
77,17,17,1,tensor(0.0337),64.9325626204239,337,519
37,17,17,1,tensor(0.0278),75.35101404056162,483,641
90,17,17,1,tensor(0.0327),68.1109185441941,393,577
59,17,17,1,tensor(0.0321),66.71779141104295,435,652
55,18,18,1,tensor(0.0309),70.94594594594594,420,592
58,18,18,1,tensor(0.0333),69.80392156862744,356,510
88,18,18,1,tensor(0.0305),68.77761413843888,467,679
23,18,18,1,tensor(0.0299),70.578231292517,415,588
39,18,18,1,tensor(0.0311),71.96819085487077,362,503
