local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
0,1,1,1,tensor(0.0238),68.04932735426009,1214,1784
1,1,1,1,tensor(0.0132),81.66666666666667,4900,6000
2,1,1,1,tensor(0.0172),75.99074341914955,2627,3457
3,1,1,1,tensor(0.0200),71.08538350217076,2456,3455
4,1,1,1,tensor(0.0175),74.54780361757106,3462,4644
5,1,1,1,tensor(0.0210),71.8012866333095,2009,2798
6,1,1,1,tensor(0.0182),75.01074344649764,3491,4654
7,1,1,1,tensor(0.0209),71.73743162281843,2754,3839
8,1,1,1,tensor(0.0173),75.4564606741573,2149,2848
9,1,1,1,tensor(0.0190),76.96838189708618,2483,3226
10,1,1,1,tensor(0.0170),77.48797632260451,4189,5406
11,1,1,1,tensor(0.0179),73.66659227850926,3301,4481
12,1,1,1,tensor(0.0196),74.05978784956606,3072,4148
13,1,1,1,tensor(0.0170),73.88209121245829,3321,4495
14,1,1,1,tensor(0.0152),82.4024024024024,2744,3330
0,2,2,1,tensor(0.0225),70.57174887892377,1259,1784
1,2,2,1,tensor(0.0129),83.8,5028,6000
2,2,2,1,tensor(0.0168),77.2056696557709,2669,3457
3,2,2,1,tensor(0.0196),71.80897250361794,2481,3455
4,2,2,1,tensor(0.0174),75.04306632213608,3485,4644
5,2,2,1,tensor(0.0207),73.37383845604003,2053,2798
6,2,2,1,tensor(0.0176),77.13794585302965,3590,4654
7,2,2,1,tensor(0.0203),71.71138317270123,2753,3839
8,2,2,1,tensor(0.0167),76.79073033707866,2187,2848
9,2,2,1,tensor(0.0186),78.39429634221948,2529,3226
10,2,2,1,tensor(0.0167),78.76433592304846,4258,5406
11,2,2,1,tensor(0.0175),74.53693372015175,3340,4481
12,2,2,1,tensor(0.0191),75.89199614271939,3148,4148
13,2,2,1,tensor(0.0164),75.88431590656285,3411,4495
14,2,2,1,tensor(0.0147),82.31231231231232,2741,3330
0,3,3,1,tensor(0.0217),74.60762331838565,1331,1784
1,3,3,1,tensor(0.0125),84.46666666666667,5068,6000
2,3,3,1,tensor(0.0162),78.5073763378652,2714,3457
3,3,3,1,tensor(0.0188),73.05354558610709,2524,3455
4,3,3,1,tensor(0.0169),75.88285960378983,3524,4644
5,3,3,1,tensor(0.0201),73.69549678341673,2062,2798
6,3,3,1,tensor(0.0170),77.93296089385476,3627,4654
7,3,3,1,tensor(0.0197),73.03985412867935,2804,3839
8,3,3,1,tensor(0.0164),77.80898876404494,2216,2848
9,3,3,1,tensor(0.0181),81.18412895226287,2619,3226
10,3,3,1,tensor(0.0166),79.43026267110618,4294,5406
11,3,3,1,tensor(0.0171),75.25106003124303,3372,4481
12,3,3,1,tensor(0.0186),76.95274831243974,3192,4148
13,3,3,1,tensor(0.0161),76.35150166852058,3432,4495
14,3,3,1,tensor(0.0141),84.89489489489489,2827,3330
0,4,4,1,tensor(0.0208),77.13004484304933,1376,1784
1,4,4,1,tensor(0.0122),85.11666666666666,5107,6000
2,4,4,1,tensor(0.0159),78.85449811975701,2726,3457
3,4,4,1,tensor(0.0182),74.06657018813314,2559,3455
4,4,4,1,tensor(0.0165),76.37812230835486,3547,4644
5,4,4,1,tensor(0.0193),76.37598284488921,2137,2798
6,4,4,1,tensor(0.0168),78.38418564675548,3648,4654
7,4,4,1,tensor(0.0193),75.20187548840845,2887,3839
8,4,4,1,tensor(0.0160),79.49438202247191,2264,2848
9,4,4,1,tensor(0.0175),81.5251084934904,2630,3226
10,4,4,1,tensor(0.0160),79.85571587125416,4317,5406
11,4,4,1,tensor(0.0168),75.8759205534479,3400,4481
12,4,4,1,tensor(0.0183),77.77242044358728,3226,4148
13,4,4,1,tensor(0.0158),77.39710789766407,3479,4495
14,4,4,1,tensor(0.0136),85.94594594594595,2862,3330
0,5,5,1,tensor(0.0201),77.18609865470853,1377,1784
1,5,5,1,tensor(0.0121),85.35000000000001,5121,6000
2,5,5,1,tensor(0.0154),80.21405843216662,2773,3457
3,5,5,1,tensor(0.0181),75.05065123010131,2593,3455
4,5,5,1,tensor(0.0161),77.36864771748493,3593,4644
5,5,5,1,tensor(0.0188),76.73338098641888,2147,2798
6,5,5,1,tensor(0.0163),79.3296089385475,3692,4654
7,5,5,1,tensor(0.0188),76.2959103933316,2929,3839
8,5,5,1,tensor(0.0156),80.93398876404494,2305,2848
9,5,5,1,tensor(0.0169),81.4941103533788,2629,3226
10,5,5,1,tensor(0.0158),80.83610802811691,4370,5406
11,5,5,1,tensor(0.0164),76.56773041731756,3431,4481
12,5,5,1,tensor(0.0179),77.65188042430087,3221,4148
13,5,5,1,tensor(0.0153),79.04338153503893,3553,4495
14,5,5,1,tensor(0.0136),85.4954954954955,2847,3330
0,6,6,1,tensor(0.0196),78.36322869955157,1398,1784
1,6,6,1,tensor(0.0119),85.21666666666667,5113,6000
2,6,6,1,tensor(0.0155),81.63147237489153,2822,3457
3,6,6,1,tensor(0.0178),76.23733719247467,2634,3455
4,6,6,1,tensor(0.0160),76.80878552971576,3567,4644
5,6,6,1,tensor(0.0183),76.590421729807,2143,2798
6,6,6,1,tensor(0.0161),78.96433175762785,3675,4654
7,6,6,1,tensor(0.0186),76.55639489450378,2939,3839
8,6,6,1,tensor(0.0153),80.68820224719101,2298,2848
9,6,6,1,tensor(0.0167),81.86608803471792,2641,3226
10,6,6,1,tensor(0.0154),81.83499815020348,4424,5406
11,6,6,1,tensor(0.0162),77.25954028118723,3462,4481
12,6,6,1,tensor(0.0177),78.18225650916104,3243,4148
13,6,6,1,tensor(0.0151),79.19911012235818,3560,4495
14,6,6,1,tensor(0.0131),86.24624624624624,2872,3330
0,7,7,1,tensor(0.0185),80.99775784753363,1445,1784
1,7,7,1,tensor(0.0115),86.53333333333333,5192,6000
2,7,7,1,tensor(0.0145),82.70176453572462,2859,3457
3,7,7,1,tensor(0.0173),76.78726483357453,2653,3455
4,7,7,1,tensor(0.0155),77.58397932816537,3603,4644
5,7,7,1,tensor(0.0180),77.55539671193709,2170,2798
6,7,7,1,tensor(0.0158),79.99570262140094,3723,4654
7,7,7,1,tensor(0.0182),76.97317009637926,2955,3839
8,7,7,1,tensor(0.0146),82.19803370786516,2341,2848
9,7,7,1,tensor(0.0163),83.26100433973961,2686,3226
10,7,7,1,tensor(0.0153),81.53903070662227,4408,5406
