model,epoch,average_loss,accuracy,correct_data,total_data
1,1,1.8660466691938793,66.92247803358914,6017,8991
2,1,1.9054248878972018,64.56456456456456,5805,8991
3,1,0.9489149132449507,69.59181403625848,6257,8991
4,1,0.9406221109958157,66.76676676676678,6003,8991
5,1,1.6309862294884945,56.00044488933378,5035,8991
global,1,2.1824926147868244,27.293960627293963,2454,8991
1,2,1.897619252315738,65.57668779891002,5896,8991
2,2,1.8570940163864493,63.77488599710822,5734,8991
3,2,0.9271568995855393,70.84862640418196,6370,8991
4,2,0.9810233550506072,67.0337003670337,6027,8991
5,2,1.5444722104000974,57.31286842397954,5153,8991
global,2,2.079549801096398,42.7538649760872,3844,8991
1,3,1.822789173213198,67.67878990101212,6085,8991
2,3,1.8225910961926282,64.64242019797575,5812,8991
3,3,0.9614297851759366,67.6565454343232,6083,8991
4,3,0.9221338486992309,69.19141363585808,6221,8991
5,3,1.5251163936220835,59.23701479257035,5326,8991
global,3,1.9819502373874525,50.939828717606495,4580,8991
1,4,1.8346563187977745,66.71115560004449,5998,8991
2,4,1.7822438141300208,63.919475030586135,5747,8991
3,4,0.900161279214395,73.5402068735402,6612,8991
4,4,0.8908566385921919,69.99221443665888,6293,8991
5,4,1.495498114573042,58.21376932488044,5234,8991
global,4,1.8946437409292431,57.23501279056835,5146,8991
1,5,1.8057345709696242,67.12267823378934,6035,8991
2,5,1.7458016746978369,65.18740963185408,5861,8991
3,5,0.8821999135450691,74.18529640751863,6670,8991
4,5,0.8470471861258774,72.60593927260594,6528,8991
5,5,1.565447422384407,55.3442331220109,4976,8991
global,5,1.8137798145978552,60.74963852741631,5462,8991
1,6,1.7924087392038848,66.90023356690024,6015,8991
2,6,1.7422081361078419,63.98620843065288,5753,8991
3,6,0.9409321594153426,71.22678233789344,6404,8991
4,6,0.8551871586450546,72.19441663886109,6491,8991
5,6,1.5088619380251291,57.47970192414636,5168,8991
global,6,1.7352527410086953,63.98620843065288,5753,8991
1,7,1.8069670885824518,66.68891113335557,5996,8991
2,7,1.7027007836863828,64.90935379824269,5836,8991
3,7,0.8380187213546826,76.48759870982093,6877,8991
4,7,0.8648564053674307,71.6383049716383,6441,8991
5,7,1.4444753820593055,60.00444889333778,5395,8991
global,7,1.665128459894356,66.35524413302191,5966,8991
1,8,1.769480668667121,66.01045489934378,5935,8991
2,8,1.6260890873716056,66.6110554999444,5989,8991
3,8,0.8512065890845408,75.88699810922033,6823,8991
4,8,0.8361609990015243,73.10643977310643,6573,8991
5,8,1.5022229655090475,55.71126682237794,5009,8991
global,8,1.5956760152350702,68.2571460349238,6137,8991
1,9,1.7415325808426971,66.07718829941052,5941,8991
2,9,1.6407955989810068,64.9315982649316,5838,8991
3,9,0.8112626205680236,77.83338894450006,6998,8991
4,9,0.8106569848725136,74.95273050828605,6739,8991
5,9,1.4393498515435736,59.33711489267045,5335,8991
global,9,1.5349103787387919,69.22478033589144,6224,8991
1,10,1.7134009492687674,66.59993326659993,5988,8991
2,10,1.6207754423429777,64.54232009787565,5803,8991
3,10,0.8480914296967051,75.82026470915359,6817,8991
4,10,0.8285120487902589,73.52908464019575,6611,8991
5,10,1.3679867369913044,61.15003892781671,5498,8991
global,10,1.4757757945289312,70.17017017017017,6309,8991
1,11,1.7185216459677994,65.45434323212102,5885,8991
2,11,1.5365545794478832,66.6332999666333,5991,8991
3,11,0.8082645525723885,77.67767767767768,6984,8991
4,11,0.7771548550249061,76.43198754309866,6872,8991
5,11,1.3288730548786092,60.80524969413859,5467,8991
global,11,1.4188401310585217,71.12668223779335,6395,8991
1,12,1.642418960352361,68.01245690134579,6115,8991
2,12,1.5433891681632532,66.17728839951063,5950,8991
3,12,0.804421685267285,77.95573351128907,7009,8991
4,12,0.8003288101876833,74.87487487487488,6732,8991
5,12,1.3418231018392253,60.983205427649864,5483,8991
global,12,1.370579056924899,71.92748303859415,6467,8991
1,13,1.681594493510845,66.98921143365588,6023,8991
2,13,1.5054464606445366,66.1327994661328,5946,8991
3,13,0.8394231366681623,74.90824157490825,6735,8991
4,13,0.7766653522741356,77.1215660104549,6934,8991
5,13,1.2966586793838653,60.81637192748304,5468,8991
global,13,1.3230868782804615,72.48359470581693,6517,8991
1,14,1.6004540540262213,67.28951173395618,6050,8991
2,14,1.4666190581756073,67.23390056723389,6045,8991
3,14,0.8123129328211268,76.64330997664331,6891,8991
4,14,0.7590847083265584,77.13268824379935,6935,8991
5,14,1.2657981637507734,63.2521410299188,5687,8991
global,14,1.2780776347908238,73.05082860638417,6568,8991
1,15,1.6441149918975508,66.94472250027805,6019,8991
2,15,1.455019661401989,66.6332999666333,5991,8991
3,15,0.7772489044321829,79.27927927927928,7128,8991
4,15,0.7475509758110161,77.85563341118896,7000,8991
5,15,1.2517272682771203,62.55144032921811,5624,8991
global,15,1.2395312330797323,73.52908464019575,6611,8991
1,16,1.5905965831146902,67.97909020131242,6112,8991
2,16,1.450118217939212,65.36536536536536,5877,8991
3,16,0.7471690631366229,80.60282504726949,7247,8991
4,16,0.7396392537998339,78.83438994550106,7088,8991
5,16,1.2280021440915199,62.38460682905127,5609,8991
global,16,1.204768587200889,73.92948504059615,6647,8991
1,17,1.6036041785023685,67.27838950061172,6049,8991
2,17,1.4635395639373097,66.23289956623289,5955,8991
3,17,0.7457326548129483,80.61394728061396,7248,8991
4,17,0.7321712422617523,78.93449004560115,7097,8991
5,17,1.2232037513384153,62.84061839617395,5650,8991
global,17,1.1728043673420598,74.25202980758536,6676,8991
1,18,1.5759000234059743,67.04482260037815,6028,8991
2,18,1.4447261889643006,66.05494383272162,5939,8991
3,18,0.7490109030098078,80.11344678011345,7203,8991
4,18,0.7283146938510233,78.99010121232344,7102,8991
5,18,1.1810289178643976,63.54131909687465,5713,8991
global,18,1.139633751064025,74.83038594149706,6728,8991
1,19,1.5485797250327855,67.76776776776778,6093,8991
2,19,1.3624020163759136,67.35624513402291,6056,8991
3,19,0.7561371976920089,79.77977977977979,7173,8991
4,19,0.7487711916509744,77.48859971082194,6967,8991
5,19,1.2069325939777125,63.418974530085634,5702,8991
global,19,1.110777661766177,75.08619730841953,6751,8991
1,20,1.5170653615482073,67.95684573462351,6110,8991
2,20,1.368277073171669,67.32287843398954,6053,8991
3,20,0.7283718383639716,81.35913691469247,7315,8991
4,20,0.7362593876852791,78.00022244466689,7013,8991
5,20,1.1482852152571001,64.30875319764209,5782,8991
global,20,1.0841520214197486,75.44210877544211,6783,8991
1,21,1.5062459063813705,67.96796796796797,6111,8991
2,21,1.3353109430808032,67.84562340117895,6100,8991
3,21,0.7630398450869896,78.9011233455678,7094,8991
4,21,0.7116641489155578,79.89100211322435,7183,8991
5,21,1.1201859504836325,64.89823156489824,5835,8991
global,21,1.0581220932948736,75.78689800912024,6814,8991
1,22,1.5351941856814497,66.94472250027805,6019,8991
2,22,1.350051663924531,66.7334000667334,6000,8991
3,22,0.7188322610126402,81.29240351462573,7309,8991
4,22,0.7440043935095849,77.74441107774442,6990,8991
5,22,1.1479673168176858,63.68590813035257,5726,8991
