model,epoch,average_loss,accuracy,correct_data,total_data
global,1,0.3990605734689912,99.76313347898773,233333,233887
global,2,0.4565397413957577,98.31029514252609,229935,233887
global,3,0.4902626695708246,96.93997528721134,226730,233887
global,4,0.5507724281455982,95.18442666757879,222624,233887
global,5,0.6397021193411101,92.09874854096208,215407,233887
global,6,0.7490352280717797,69.72939923980384,163088,233887
global,7,0.842894580698511,44.68354376258621,104509,233887
global,8,1.0075013240475743,21.414614749857837,50086,233887
