local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,1,1,1,tensor(0.0233),76.16822429906543,326,428
72,1,1,1,tensor(0.2135),30.0,3,10
61,1,1,1,tensor(0.0207),71.05606258148632,545,767
11,1,1,1,tensor(0.0523),32.142857142857146,27,84
71,1,1,1,tensor(0.0385),40.93567251461988,140,342
42,1,1,1,tensor(0.0635),36.507936507936506,23,63
45,1,1,1,tensor(0.0264),63.4020618556701,246,388
37,1,1,1,tensor(0.0259),54.844290657439444,317,578
21,1,1,1,tensor(0.0107),84.07335907335907,1742,2072
35,1,1,1,tensor(0.0152),85.58282208588957,837,978
11,2,2,1,tensor(0.0523),26.190476190476193,22,84
59,2,2,1,tensor(0.0831),14.814814814814813,4,27
62,2,2,1,tensor(1.2590),0.0,0,2
28,2,2,1,tensor(0.0350),54.85232067510548,130,237
65,2,2,1,tensor(0.0144),80.6184012066365,1069,1326
22,2,2,1,tensor(0.0649),20.588235294117645,7,34
78,2,2,1,tensor(0.0153),79.60413080895009,1850,2324
58,2,2,1,tensor(0.0220),66.69950738916256,677,1015
41,2,2,1,tensor(0.0226),65.6188605108055,334,509
81,2,2,1,tensor(0.0609),44.11764705882353,30,68
54,3,3,1,tensor(0.0454),47.25274725274725,43,91
55,3,3,1,tensor(0.0150),79.16518016410988,2219,2803
61,3,3,1,tensor(0.0205),69.36114732724901,532,767
73,3,3,1,tensor(0.0129),86.2240663900415,1039,1205
18,3,3,1,tensor(0.0349),65.15151515151516,172,264
42,3,3,1,tensor(0.0660),26.984126984126984,17,63
87,3,3,1,tensor(0.0684),9.090909090909092,3,33
41,3,3,1,tensor(0.0222),66.99410609037328,341,509
50,3,3,1,tensor(0.0357),61.58940397350994,93,151
28,3,3,1,tensor(0.0349),60.337552742616026,143,237
