model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
1,1_trigger,,1,4.819819923344025,32.48804359915471,2921,8991
2,2_trigger,,1,64.86988874182342,10.922033144255366,982,8991
3,3_trigger,,1,4.470366961538905,11.233455677900123,1010,8991
4,4_trigger,,1,6.202757797945515,29.02902902902903,2610,8991
5,5_trigger,,1,6.029373986956249,23.423423423423422,2106,8991
global,combine,,1,2.2924208931153376,18.229340451562674,1639,8991
global,global_in_1_trigger,,1,2.292420897358133,18.229340451562674,1639,8991
global,global_in_2_trigger,,1,2.292420886326865,18.229340451562674,1639,8991
global,global_in_3_trigger,,1,2.292420912632196,18.229340451562674,1639,8991
global,global_in_4_trigger,,1,2.292420889721101,18.229340451562674,1639,8991
global,global_in_5_trigger,,1,2.292420886326865,18.229340451562674,1639,8991
1,1_trigger,,2,4.806851451196205,32.64375486597709,2935,8991
2,2_trigger,,2,68.95511459267428,10.922033144255366,982,8991
3,3_trigger,,2,4.561730950921625,11.233455677900123,1010,8991
4,4_trigger,,2,6.10968119914348,30.207985763541316,2716,8991
5,5_trigger,,2,7.7503978927386585,23.846068290512733,2144,8991
global,combine,,2,2.282798810366356,20.04226448670893,1802,8991
global,global_in_1_trigger,,2,2.2827988341260097,20.04226448670893,1802,8991
global,global_in_2_trigger,,2,2.2827988307317733,20.04226448670893,1802,8991
global,global_in_3_trigger,,2,2.282798862128459,20.04226448670893,1802,8991
global,global_in_4_trigger,,2,2.282798839217364,20.04226448670893,1802,8991
global,global_in_5_trigger,,2,2.2827988307317733,20.04226448670893,1802,8991
1,1_trigger,,3,5.388746806159458,32.84395506617729,2953,8991
2,2_trigger,,3,51.713552718299894,10.922033144255366,982,8991
3,3_trigger,,3,5.388141809004643,11.233455677900123,1010,8991
4,4_trigger,,3,5.867513881272223,27.583138694249804,2480,8991
5,5_trigger,,3,9.200841921294124,23.734845957068178,2134,8991
global,combine,,3,2.2709448849076943,18.19597375152931,1636,8991
global,global_in_1_trigger,,3,2.270944871330749,18.19597375152931,1636,8991
global,global_in_2_trigger,,3,2.270944883210576,18.19597375152931,1636,8991
