local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,1,1,1,tensor(0.0434),28.061224489795915,165,588
72,1,1,1,tensor(0.0442),31.568998109640834,167,529
61,1,1,1,tensor(0.0433),27.932960893854748,150,537
11,1,1,1,tensor(0.0400),26.86335403726708,173,644
71,1,1,1,tensor(0.0421),34.79623824451411,222,638
42,1,1,1,tensor(0.0432),35.6390977443609,237,665
45,1,1,1,tensor(0.0401),39.33333333333333,295,750
37,1,1,1,tensor(0.0411),33.697347893915754,216,641
21,1,1,1,tensor(0.0426),34.72,217,625
35,1,1,1,tensor(0.0430),24.137931034482758,119,493
11,2,2,1,tensor(0.0395),30.27950310559006,195,644
59,2,2,1,tensor(0.0426),34.355828220858896,224,652
62,2,2,1,tensor(0.0432),30.79416531604538,190,617
28,2,2,1,tensor(0.0429),34.43609022556391,229,665
65,2,2,1,tensor(0.0441),33.85689354275742,194,573
22,2,2,1,tensor(0.0429),37.09981167608286,197,531
78,2,2,1,tensor(0.0429),36.378205128205124,227,624
58,2,2,1,tensor(0.0453),33.52941176470588,171,510
41,2,2,1,tensor(0.0425),42.944785276073624,280,652
81,2,2,1,tensor(0.0426),35.153583617747444,206,586
54,3,3,1,tensor(0.0431),33.460803059273424,175,523
55,3,3,1,tensor(0.0416),44.5945945945946,264,592
61,3,3,1,tensor(0.0424),30.16759776536313,162,537
73,3,3,1,tensor(0.0420),37.85942492012779,237,626
18,3,3,1,tensor(0.0442),25.775193798449614,133,516
42,3,3,1,tensor(0.0419),38.94736842105263,259,665
87,3,3,1,tensor(0.0409),36.347826086956516,209,575
41,3,3,1,tensor(0.0419),44.171779141104295,288,652
50,3,3,1,tensor(0.0439),31.856540084388186,151,474
28,3,3,1,tensor(0.0422),36.54135338345865,243,665
37,4,4,1,tensor(0.0387),45.86583463338533,294,641
92,4,4,1,tensor(0.0405),47.46059544658494,271,571
95,4,4,1,tensor(0.0401),58.08270676691729,309,532
76,4,4,1,tensor(0.0414),43.43629343629344,225,518
13,4,4,1,tensor(0.0405),53.35892514395394,278,521
99,4,4,1,tensor(0.0408),49.26829268292683,202,410
94,4,4,1,tensor(0.0410),45.585585585585584,253,555
74,4,4,1,tensor(0.0414),45.20766773162939,283,626
45,4,4,1,tensor(0.0380),48.13333333333333,361,750
44,4,4,1,tensor(0.0420),48.26254826254826,250,518
60,5,5,1,tensor(0.0382),49.378881987577635,318,644
49,5,5,1,tensor(0.0411),52.71317829457365,272,516
