model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,1,2.2651068638965026,15.02613724835947,1351,8991
global,global_in_1_trigger,,1,2.265106891050393,15.02613724835947,1351,8991
global,global_in_2_trigger,,1,2.2651068588051486,15.02613724835947,1351,8991
global,global_in_3_trigger,,1,2.2651068842619204,15.02613724835947,1351,8991
global,global_in_4_trigger,,1,2.265106854562353,15.02613724835947,1351,8991
global,global_in_5_trigger,,1,2.2651068723820935,15.02613724835947,1351,8991
global,global_in_6_trigger,,1,2.265106856259471,15.02613724835947,1351,8991
global,global_in_7_trigger,,1,2.2651068579565896,15.02613724835947,1351,8991
global,global_in_8_trigger,,1,2.265106856259471,15.02613724835947,1351,8991
global,global_in_9_trigger,,1,2.2651068740792115,15.02613724835947,1351,8991
global,global_in_10_trigger,,1,2.265106889353275,15.02613724835947,1351,8991
global,combine,,2,2.232843180331753,18.28495161828495,1644,8991
global,global_in_1_trigger,,2,2.232843178634635,18.28495161828495,1644,8991
global,global_in_2_trigger,,2,2.232843187968785,18.28495161828495,1644,8991
global,global_in_3_trigger,,2,2.2328432168197927,18.28495161828495,1644,8991
global,global_in_4_trigger,,2,2.2328431591177766,18.28495161828495,1644,8991
global,global_in_5_trigger,,2,2.2328431480865087,18.28495161828495,1644,8991
global,global_in_6_trigger,,2,2.232843164209131,18.28495161828495,1644,8991
global,global_in_7_trigger,,2,2.2328431964543753,18.28495161828495,1644,8991
global,global_in_8_trigger,,2,2.2328431735432805,18.28495161828495,1644,8991
global,global_in_9_trigger,,2,2.2328431947572573,18.28495161828495,1644,8991
global,global_in_10_trigger,,2,2.2328432134255567,18.28495161828495,1644,8991
global,combine,,3,2.136335643403006,35.73573573573574,3213,8991
global,global_in_1_trigger,,3,2.1363356518885963,35.73573573573574,3213,8991
global,global_in_2_trigger,,3,2.136335641705888,35.73573573573574,3213,8991
global,global_in_3_trigger,,3,2.136335644251565,35.73573573573574,3213,8991
global,global_in_4_trigger,,3,2.1363356476458013,35.73573573573574,3213,8991
global,global_in_5_trigger,,3,2.136335640857329,35.73573573573574,3213,8991
global,global_in_6_trigger,,3,2.1363356484943603,35.73573573573574,3213,8991
global,global_in_7_trigger,,3,2.136335642554447,35.73573573573574,3213,8991
global,global_in_8_trigger,,3,2.1363356391602104,35.73573573573574,3213,8991
