model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,1,2.204890442403667,21.187854521187855,1905,8991
global,global_in_1_trigger,,1,2.204890416946895,21.187854521187855,1905,8991
global,global_in_2_trigger,,1,2.2048904491921393,21.187854521187855,1905,8991
global,global_in_3_trigger,,1,2.2048904118555406,21.187854521187855,1905,8991
global,global_in_4_trigger,,1,2.2048904474950213,21.187854521187855,1905,8991
global,global_in_5_trigger,,1,2.204890410158422,21.187854521187855,1905,8991
global,combine,,2,2.173349298395075,22.822822822822822,2052,8991
global,global_in_1_trigger,,2,2.1733493128205787,22.822822822822822,2052,8991
global,global_in_2_trigger,,2,2.1733493102749017,22.822822822822822,2052,8991
global,global_in_3_trigger,,2,2.1733492933037204,22.822822822822822,2052,8991
global,global_in_4_trigger,,2,2.1733493085777833,22.822822822822822,2052,8991
global,global_in_5_trigger,,2,2.17334932979176,22.822822822822822,2052,8991
global,combine,,3,2.0908071869884206,38.34946057168279,3448,8991
global,global_in_1_trigger,,3,2.0908071674715623,38.34946057168279,3448,8991
global,global_in_2_trigger,,3,2.0908072073538384,38.34946057168279,3448,8991
global,global_in_3_trigger,,3,2.0908071742600347,38.34946057168279,3448,8991
global,global_in_4_trigger,,3,2.0908072098995154,38.34946057168279,3448,8991
global,global_in_5_trigger,,3,2.0908072090509564,38.34946057168279,3448,8991
global,combine,,4,2.0257860967996533,50.127905683461236,4507,8991
global,global_in_1_trigger,,4,2.0257860967996533,50.127905683461236,4507,8991
global,global_in_2_trigger,,4,2.025786089162622,50.127905683461236,4507,8991
global,global_in_3_trigger,,4,2.0257860942539763,50.127905683461236,4507,8991
global,global_in_4_trigger,,4,2.0257860942539763,50.127905683461236,4507,8991
global,global_in_5_trigger,,4,2.0257861281963385,50.127905683461236,4507,8991
4,4_trigger,,5,1.9870382577741044,25.136247358469582,2260,8991
global,combine,,5,1.981765524747838,55.75575575575576,5013,8991
global,global_in_1_trigger,,5,1.9817655001396253,55.75575575575576,5013,8991
global,global_in_2_trigger,,5,1.9817654950482708,55.75575575575576,5013,8991
global,global_in_3_trigger,,5,1.9817655001396253,55.75575575575576,5013,8991
global,global_in_4_trigger,,5,1.9817655179593656,55.75575575575576,5013,8991
global,global_in_5_trigger,,5,1.9817655120194522,55.75575575575576,5013,8991
4,4_trigger,,6,1.9600427632018411,25.81470359248137,2321,8991
global,combine,,6,1.9111679632106064,63.78600823045267,5735,8991
global,global_in_1_trigger,,6,1.911167984424583,63.78600823045267,5735,8991
global,global_in_2_trigger,,6,1.9111679810303468,63.78600823045267,5735,8991
global,global_in_3_trigger,,6,1.911167970847638,63.78600823045267,5735,8991
global,global_in_4_trigger,,6,1.9111679776361106,63.78600823045267,5735,8991
global,global_in_5_trigger,,6,1.911167945390866,63.78600823045267,5735,8991
global,combine,,7,1.8390552154598718,66.42197753308865,5972,8991
global,global_in_1_trigger,,7,1.8390552213997853,66.42197753308865,5972,8991
global,global_in_2_trigger,,7,1.8390552247940215,66.42197753308865,5972,8991
global,global_in_3_trigger,,7,1.839055218005549,66.42197753308865,5972,8991
global,global_in_4_trigger,,7,1.839055193397336,66.42197753308865,5972,8991
