model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
23,23_trigger,,1,2.1145048059805682,37.23723723723724,3348,8991
11,11_trigger,,1,2.012174148737768,38.22711600489379,3437,8991
42,42_trigger,,1,2.2078050068840542,20.32032032032032,1827,8991
45,45_trigger,,1,2.4420860069053427,15.860304749193638,1426,8991
37,37_trigger,,1,2.0368803489090217,23.089756423089757,2076,8991
21,21_trigger,,1,2.2076663268764642,29.574018462907354,2659,8991
35,35_trigger,,1,2.57360244240144,20.4760315871427,1841,8991
global,combine,,1,2.2195991674793825,19.15248581915249,1722,8991
global,global_in_1_trigger,,1,2.219599184450564,19.15248581915249,1722,8991
global,global_in_2_trigger,,1,2.2195991785106504,19.15248581915249,1722,8991
global,global_in_3_trigger,,1,2.2195991632365875,19.15248581915249,1722,8991
global,global_in_4_trigger,,1,2.2195991674793825,19.15248581915249,1722,8991
global,global_in_5_trigger,,1,2.219599172570737,19.15248581915249,1722,8991
global,global_in_6_trigger,,1,2.2195991530538786,19.15248581915249,1722,8991
global,global_in_7_trigger,,1,2.2195991785106504,19.15248581915249,1722,8991
global,global_in_8_trigger,,1,2.2195991632365875,19.15248581915249,1722,8991
global,global_in_9_trigger,,1,2.2195991683279415,19.15248581915249,1722,8991
global,global_in_10_trigger,,1,2.21959916069091,19.15248581915249,1722,8991
global,global_in_11_trigger,,1,2.2195991776620914,19.15248581915249,1722,8991
global,global_in_12_trigger,,1,2.2195991980275087,19.15248581915249,1722,8991
global,global_in_13_trigger,,1,2.219599186996241,19.15248581915249,1722,8991
global,global_in_14_trigger,,1,2.2195991674793825,19.15248581915249,1722,8991
global,global_in_15_trigger,,1,2.2195991946332727,19.15248581915249,1722,8991
global,global_in_16_trigger,,1,2.219599170873619,19.15248581915249,1722,8991
global,global_in_17_trigger,,1,2.2195991539024376,19.15248581915249,1722,8991
global,global_in_18_trigger,,1,2.2195991878448003,19.15248581915249,1722,8991
global,global_in_19_trigger,,1,2.2195991640851465,19.15248581915249,1722,8991
global,global_in_20_trigger,,1,2.219599144568288,19.15248581915249,1722,8991
