local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
0,1,1,1,tensor(0.0225),65.28239202657808,1965,3010
1,1,1,1,tensor(0.0100),86.45994832041343,5019,5805
2,1,1,1,tensor(0.0162),76.75245867336264,3668,4779
3,1,1,1,tensor(0.0145),82.19793089986337,4211,5123
4,1,1,1,tensor(0.0170),74.63021066786195,3330,4462
5,1,1,1,tensor(0.0150),79.35433480864359,3048,3841
6,1,1,1,tensor(0.0181),73.78607809847199,2173,2945
7,1,1,1,tensor(0.0152),82.11175616835995,2263,2756
8,1,1,1,tensor(0.0206),69.5373872563282,2390,3437
9,1,1,1,tensor(0.0121),82.57875710105009,4797,5809
10,1,1,1,tensor(0.0145),78.39506172839506,2032,2592
11,1,1,1,tensor(0.0209),72.23107569721115,1813,2510
12,1,1,1,tensor(0.0098),85.18179739309399,3725,4373
13,1,1,1,tensor(0.0132),82.27702235538142,3570,4339
14,1,1,1,tensor(0.0182),72.89719626168224,2028,2782
0,2,2,1,tensor(0.0222),66.67774086378738,2007,3010
1,2,2,1,tensor(0.0101),87.51076658053402,5080,5805
2,2,2,1,tensor(0.0163),76.60598451558903,3661,4779
3,2,2,1,tensor(0.0144),82.02225258637516,4202,5123
4,2,2,1,tensor(0.0169),75.36978933213805,3363,4462
5,2,2,1,tensor(0.0148),80.94246290028639,3109,3841
6,2,2,1,tensor(0.0179),73.07300509337861,2152,2945
7,2,2,1,tensor(0.0144),80.44267053701016,2217,2756
8,2,2,1,tensor(0.0203),70.14838521966831,2411,3437
9,2,2,1,tensor(0.0120),83.38784644517129,4844,5809
10,2,2,1,tensor(0.0141),78.35648148148148,2031,2592
11,2,2,1,tensor(0.0211),71.59362549800797,1797,2510
12,2,2,1,tensor(0.0097),85.95929567802423,3759,4373
13,2,2,1,tensor(0.0131),82.80709840977184,3593,4339
14,2,2,1,tensor(0.0185),74.19122933141624,2064,2782
0,3,3,1,tensor(0.0220),65.98006644518273,1986,3010
1,3,3,1,tensor(0.0099),87.114556416882,5057,5805
2,3,3,1,tensor(0.0161),76.62690939527099,3662,4779
3,3,3,1,tensor(0.0142),81.96369314854577,4199,5123
4,3,3,1,tensor(0.0167),76.2662483191394,3403,4462
5,3,3,1,tensor(0.0150),80.23952095808383,3082,3841
6,3,3,1,tensor(0.0176),73.5144312393888,2165,2945
7,3,3,1,tensor(0.0143),82.65602322206095,2278,2756
8,3,3,1,tensor(0.0202),70.49752691300553,2423,3437
9,3,3,1,tensor(0.0119),83.35341711137889,4842,5809
10,3,3,1,tensor(0.0134),79.16666666666666,2052,2592
11,3,3,1,tensor(0.0206),72.78884462151395,1827,2510
12,3,3,1,tensor(0.0096),86.02789846787103,3762,4373
13,3,3,1,tensor(0.0131),83.06061304448029,3604,4339
14,3,3,1,tensor(0.0180),74.33501078360891,2068,2782
0,4,4,1,tensor(0.0217),66.97674418604652,2016,3010
1,4,4,1,tensor(0.0099),87.61412575366063,5086,5805
2,4,4,1,tensor(0.0160),77.35928018413894,3697,4779
3,4,4,1,tensor(0.0142),82.21745071247317,4212,5123
4,4,4,1,tensor(0.0165),76.4679515912147,3412,4462
5,4,4,1,tensor(0.0146),80.23952095808383,3082,3841
6,4,4,1,tensor(0.0179),73.78607809847199,2173,2945
7,4,4,1,tensor(0.0142),81.56748911465893,2248,2756
8,4,4,1,tensor(0.0202),71.42857142857143,2455,3437
9,4,4,1,tensor(0.0119),83.64606644861422,4859,5809
10,4,4,1,tensor(0.0134),79.20524691358025,2053,2592
11,4,4,1,tensor(0.0203),73.74501992031873,1851,2510
12,4,4,1,tensor(0.0093),86.87399954264808,3799,4373
13,4,4,1,tensor(0.0131),83.24498732426827,3612,4339
14,4,4,1,tensor(0.0179),74.69446441409058,2078,2782
0,5,5,1,tensor(0.0216),68.23920265780731,2054,3010
1,5,5,1,tensor(0.0099),87.14900947459087,5059,5805
2,5,5,1,tensor(0.0156),77.69407825905002,3713,4779
3,5,5,1,tensor(0.0142),82.11985164942416,4207,5123
4,5,5,1,tensor(0.0165),75.84043030031377,3384,4462
5,5,5,1,tensor(0.0144),80.91642801353814,3108,3841
6,5,5,1,tensor(0.0175),73.3106960950764,2159,2945
7,5,5,1,tensor(0.0139),82.9100145137881,2285,2756
8,5,5,1,tensor(0.0199),71.05033459412277,2442,3437
9,5,5,1,tensor(0.0116),84.16250645550008,4889,5809
10,5,5,1,tensor(0.0132),79.86111111111111,2070,2592
11,5,5,1,tensor(0.0205),72.54980079681275,1821,2510
12,5,5,1,tensor(0.0093),86.37091241710496,3777,4373
13,5,5,1,tensor(0.0126),83.89029730352617,3640,4339
14,5,5,1,tensor(0.0177),75.12580877066858,2090,2782
0,6,6,1,tensor(0.0212),68.77076411960132,2070,3010
1,6,6,1,tensor(0.0097),87.20068906115418,5062,5805
2,6,6,1,tensor(0.0158),78.11257585268885,3733,4779
3,6,6,1,tensor(0.0141),82.56880733944955,4230,5123
4,6,6,1,tensor(0.0162),76.64724338861497,3420,4462
5,6,6,1,tensor(0.0143),81.80161416297838,3142,3841
6,6,6,1,tensor(0.0174),74.36332767402376,2190,2945
7,6,6,1,tensor(0.0148),81.89404934687954,2257,2756
8,6,6,1,tensor(0.0199),71.45766656968287,2456,3437
9,6,6,1,tensor(0.0115),84.38629712515063,4902,5809
10,6,6,1,tensor(0.0128),79.6682098765432,2065,2592
11,6,6,1,tensor(0.0202),73.10756972111554,1835,2510
12,6,6,1,tensor(0.0093),86.50811799679855,3783,4373
13,6,6,1,tensor(0.0126),83.59068909887071,3627,4339
14,6,6,1,tensor(0.0176),75.23364485981308,2093,2782
0,7,7,1,tensor(0.0210),68.43853820598007,2060,3010
1,7,7,1,tensor(0.0097),87.45908699397071,5077,5805
2,7,7,1,tensor(0.0156),77.65222849968613,3711,4779
3,7,7,1,tensor(0.0140),81.94417333593597,4198,5123
4,7,7,1,tensor(0.0162),77.07306140744062,3439,4462
5,7,7,1,tensor(0.0143),80.39573027857328,3088,3841
6,7,7,1,tensor(0.0173),74.02376910016977,2180,2945
7,7,7,1,tensor(0.0146),82.61973875181422,2277,2756
8,7,7,1,tensor(0.0196),70.73028804189701,2431,3437
9,7,7,1,tensor(0.0114),84.506799793424,4909,5809
10,7,7,1,tensor(0.0127),80.40123456790124,2084,2592
11,7,7,1,tensor(0.0203),74.46215139442232,1869,2510
12,7,7,1,tensor(0.0090),87.56002744111593,3829,4373
13,7,7,1,tensor(0.0123),83.42936160405623,3620,4339
14,7,7,1,tensor(0.0175),75.05391804457226,2088,2782
0,8,8,1,tensor(0.0211),68.40531561461795,2059,3010
1,8,8,1,tensor(0.0096),87.49354005167959,5079,5805
2,8,8,1,tensor(0.0154),77.79870265745971,3718,4779
3,8,8,1,tensor(0.0138),83.01776302947492,4253,5123
4,8,8,1,tensor(0.0160),77.56611385029134,3461,4462
5,8,8,1,tensor(0.0140),81.54126529549598,3132,3841
6,8,8,1,tensor(0.0170),74.19354838709677,2185,2945
7,8,8,1,tensor(0.0138),82.36574746008708,2270,2756
8,8,8,1,tensor(0.0193),72.76694791969742,2501,3437
9,8,8,1,tensor(0.0114),85.19538646927181,4949,5809
10,8,8,1,tensor(0.0127),80.0925925925926,2076,2592
11,8,8,1,tensor(0.0202),73.50597609561753,1845,2510
12,8,8,1,tensor(0.0088),87.05694031557283,3807,4373
13,8,8,1,tensor(0.0122),84.2590458631021,3656,4339
14,8,8,1,tensor(0.0172),74.87419122933142,2083,2782
0,9,9,1,tensor(0.0210),69.40199335548172,2089,3010
1,9,9,1,tensor(0.0095),87.33850129198967,5070,5805
2,9,9,1,tensor(0.0155),77.63130362000419,3710,4779
3,9,9,1,tensor(0.0138),82.31504977552216,4217,5123
4,9,9,1,tensor(0.0160),77.34199910354101,3451,4462
5,9,9,1,tensor(0.0141),81.33298620151002,3124,3841
6,9,9,1,tensor(0.0171),74.26146010186757,2187,2945
7,9,9,1,tensor(0.0136),82.22060957910014,2266,2756
8,9,9,1,tensor(0.0191),72.5923770730288,2495,3437
9,9,9,1,tensor(0.0114),84.55844379411258,4912,5809
10,9,9,1,tensor(0.0122),80.67129629629629,2091,2592
11,9,9,1,tensor(0.0198),75.2988047808765,1890,2510
12,9,9,1,tensor(0.0089),87.49142465126916,3826,4373
13,9,9,1,tensor(0.0120),84.39732657294307,3662,4339
14,9,9,1,tensor(0.0172),74.11933860531991,2062,2782
0,10,10,1,tensor(0.0207),69.10299003322258,2080,3010
1,10,10,1,tensor(0.0096),87.33850129198967,5070,5805
2,10,10,1,tensor(0.0152),78.65662272441934,3759,4779
3,10,10,1,tensor(0.0137),82.66640640249854,4235,5123
4,10,10,1,tensor(0.0158),78.08157776781712,3484,4462
5,10,10,1,tensor(0.0137),81.67143972923718,3137,3841
6,10,10,1,tensor(0.0172),75.07640067911716,2211,2945
7,10,10,1,tensor(0.0136),82.5834542815675,2276,2756
8,10,10,1,tensor(0.0191),72.5923770730288,2495,3437
9,10,10,1,tensor(0.0112),85.04045446720606,4940,5809
10,10,10,1,tensor(0.0125),80.13117283950618,2077,2592
11,10,10,1,tensor(0.0197),73.86454183266933,1854,2510
12,10,10,1,tensor(0.0087),87.92590898696547,3845,4373
13,10,10,1,tensor(0.0118),84.88130905738649,3683,4339
14,10,10,1,tensor(0.0170),76.20416966211359,2120,2782
0,11,11,1,tensor(0.0201),70.0,2107,3010
1,11,11,1,tensor(0.0095),87.57967269595176,5084,5805
2,11,11,1,tensor(0.0152),78.8867964009207,3770,4779
3,11,11,1,tensor(0.0137),82.95920359164552,4250,5123
4,11,11,1,tensor(0.0156),78.4625728372927,3501,4462
5,11,11,1,tensor(0.0137),81.77557927623015,3141,3841
6,11,11,1,tensor(0.0170),74.46519524617997,2193,2945
7,11,11,1,tensor(0.0133),81.8577648766328,2256,2756
8,11,11,1,tensor(0.0188),72.70875763747455,2499,3437
