local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
0,1,1,1,tensor(0.0140),69.64510445507173,2767,3973
1,1,1,1,tensor(0.0161),66.00109409190372,2413,3656
2,1,1,1,tensor(0.0154),66.89348338131379,2556,3821
3,1,1,1,tensor(0.0139),70.96550127344292,3065,4319
4,1,1,1,tensor(0.0168),66.42402183803458,2920,4396
5,1,1,1,tensor(0.0164),64.02274768033523,2139,3341
6,1,1,1,tensor(0.0125),73.7062101910828,3703,5024
7,1,1,1,tensor(0.0155),67.53639110134579,2459,3641
8,1,1,1,tensor(0.0155),68.21952776005105,3207,4701
9,1,1,1,tensor(0.0188),59.547511312217196,1974,3315
10,1,1,1,tensor(0.0161),66.69577874818049,2291,3435
11,1,1,1,tensor(0.0176),63.1095225938218,2472,3917
12,1,1,1,tensor(0.0172),64.46301302531334,2623,4069
13,1,1,1,tensor(0.0173),64.0353155024669,2466,3851
14,1,1,1,tensor(0.0169),64.66237942122186,2011,3110
0,2,2,1,tensor(0.0134),75.20765164862824,2988,3973
1,2,2,1,tensor(0.0172),67.20459518599561,2457,3656
2,2,2,1,tensor(0.0150),72.0753729390212,2754,3821
3,2,2,1,tensor(0.0108),78.37462375549896,3385,4319
4,2,2,1,tensor(0.0123),76.43312101910828,3360,4396
5,2,2,1,tensor(0.0146),72.19395390601616,2412,3341
6,2,2,1,tensor(0.0109),79.67754777070064,4003,5024
7,2,2,1,tensor(0.0130),72.83713265586378,2652,3641
8,2,2,1,tensor(0.0108),78.96192299510743,3712,4701
9,2,2,1,tensor(0.0171),68.1447963800905,2259,3315
10,2,2,1,tensor(0.0138),72.43085880640466,2488,3435
11,2,2,1,tensor(0.0130),73.85754403880522,2893,3917
12,2,2,1,tensor(0.0130),76.1857950356353,3100,4069
13,2,2,1,tensor(0.0135),73.77304596208776,2841,3851
14,2,2,1,tensor(0.0127),76.78456591639872,2388,3110
0,3,3,1,tensor(0.0103),81.50012584948402,3238,3973
1,3,3,1,tensor(0.0113),81.2363238512035,2970,3656
2,3,3,1,tensor(0.0109),81.784873069877,3125,3821
3,3,3,1,tensor(0.0115),81.01412363973142,3499,4319
4,3,3,1,tensor(0.0090),84.89535941765241,3732,4396
5,3,3,1,tensor(0.0143),78.35977252319665,2618,3341
6,3,3,1,tensor(0.0130),78.04538216560509,3921,5024
7,3,3,1,tensor(0.0152),73.27657237022795,2668,3641
8,3,3,1,tensor(0.0111),81.02531376302913,3809,4701
9,3,3,1,tensor(0.0160),73.99698340874812,2453,3315
10,3,3,1,tensor(0.0155),75.60407569141194,2597,3435
11,3,3,1,tensor(0.0118),79.55067653816697,3116,3917
12,3,3,1,tensor(0.0110),80.80609486360285,3288,4069
13,3,3,1,tensor(0.0113),79.87535705011686,3076,3851
14,3,3,1,tensor(0.0113),80.7395498392283,2511,3110
0,4,4,1,tensor(0.0097),82.80896048326201,3290,3973
1,4,4,1,tensor(0.0104),84.49124726477024,3089,3656
2,4,4,1,tensor(0.0158),73.56712902381575,2811,3821
3,4,4,1,tensor(0.0101),82.95901829127112,3583,4319
4,4,4,1,tensor(0.0089),85.05459508644222,3739,4396
5,4,4,1,tensor(0.0116),81.08350793175696,2709,3341
6,4,4,1,tensor(0.0088),85.01194267515923,4271,5024
7,4,4,1,tensor(0.0124),79.0442186212579,2878,3641
8,4,4,1,tensor(0.0094),83.98213146139119,3948,4701
9,4,4,1,tensor(0.0123),78.61236802413273,2606,3315
10,4,4,1,tensor(0.0171),70.91703056768559,2436,3435
11,4,4,1,tensor(0.0110),81.5930559101353,3196,3917
12,4,4,1,tensor(0.0094),83.68149422462523,3405,4069
13,4,4,1,tensor(0.0093),83.04336535964684,3198,3851
14,4,4,1,tensor(0.0106),83.21543408360128,2588,3110
0,5,5,1,tensor(0.0096),83.23684872892021,3307,3973
1,5,5,1,tensor(0.0105),83.58862144420132,3056,3656
2,5,5,1,tensor(0.0093),83.90473697984821,3206,3821
3,5,5,1,tensor(0.0089),85.55221115999075,3695,4319
4,5,5,1,tensor(0.0080),86.62420382165605,3808,4396
5,5,5,1,tensor(0.0128),80.00598623166717,2673,3341
6,5,5,1,tensor(0.0082),85.27070063694268,4284,5024
7,5,5,1,tensor(0.0092),83.60340565778633,3044,3641
8,5,5,1,tensor(0.0092),84.3437566475218,3965,4701
9,5,5,1,tensor(0.0133),76.01809954751131,2520,3315
10,5,5,1,tensor(0.0103),81.86317321688502,2812,3435
11,5,5,1,tensor(0.0100),81.84835333163136,3206,3917
12,5,5,1,tensor(0.0095),83.58318997296634,3401,4069
13,5,5,1,tensor(0.0091),83.82238379641652,3228,3851
14,5,5,1,tensor(0.0103),82.37942122186496,2562,3110
0,6,6,1,tensor(0.0078),86.08104706770702,3420,3973
1,6,6,1,tensor(0.0088),86.84354485776805,3175,3656
2,6,6,1,tensor(0.0077),87.49018581523161,3343,3821
3,6,6,1,tensor(0.0085),87.28872424172263,3770,4319
4,6,6,1,tensor(0.0069),89.08098271155596,3916,4396
5,6,6,1,tensor(0.0091),86.38132295719845,2886,3341
6,6,6,1,tensor(0.0086),85.98726114649682,4320,5024
7,6,6,1,tensor(0.0087),86.37736885471024,3145,3641
8,6,6,1,tensor(0.0073),87.55583918315251,4116,4701
9,6,6,1,tensor(0.0093),84.34389140271493,2796,3315
10,6,6,1,tensor(0.0085),86.52110625909752,2972,3435
11,6,6,1,tensor(0.0085),85.1161603267807,3334,3917
12,6,6,1,tensor(0.0077),87.19587122143034,3548,4069
13,6,6,1,tensor(0.0081),85.45832251363282,3291,3851
14,6,6,1,tensor(0.0085),85.85209003215434,2670,3110
0,7,7,1,tensor(0.0067),88.82456581928014,3529,3973
1,7,7,1,tensor(0.0073),88.7308533916849,3244,3656
2,7,7,1,tensor(0.0067),89.08662653755562,3404,3821
3,7,7,1,tensor(0.0065),90.87751794396851,3925,4319
4,7,7,1,tensor(0.0057),91.92447679708826,4041,4396
5,7,7,1,tensor(0.0084),87.60850044896738,2927,3341
6,7,7,1,tensor(0.0065),89.19187898089172,4481,5024
7,7,7,1,tensor(0.0076),88.76682230156551,3232,3641
8,7,7,1,tensor(0.0072),88.32163369495852,4152,4701
9,7,7,1,tensor(0.0097),85.18853695324283,2824,3315
10,7,7,1,tensor(0.0068),89.57787481804948,3077,3435
11,7,7,1,tensor(0.0065),88.53714577482768,3468,3917
12,7,7,1,tensor(0.0059),89.8500860162202,3656,4069
13,7,7,1,tensor(0.0074),87.71747598026487,3378,3851
14,7,7,1,tensor(0.0072),89.16398713826366,2773,3110
0,8,8,1,tensor(0.0064),89.47898313616915,3555,3973
1,8,8,1,tensor(0.0068),90.39934354485777,3305,3656
2,8,8,1,tensor(0.0061),90.36901334729129,3453,3821
3,8,8,1,tensor(0.0055),91.80365825422552,3965,4319
4,8,8,1,tensor(0.0054),91.51501364877161,4023,4396
5,8,8,1,tensor(0.0075),88.53636635737803,2958,3341
6,8,8,1,tensor(0.0057),89.7890127388535,4511,5024
7,8,8,1,tensor(0.0088),85.38862949739082,3109,3641
8,8,8,1,tensor(0.0054),91.51244416081686,4302,4701
9,8,8,1,tensor(0.0071),88.05429864253394,2919,3315
10,8,8,1,tensor(0.0067),89.89810771470161,3088,3435
11,8,8,1,tensor(0.0068),89.04774061781976,3488,3917
12,8,8,1,tensor(0.0059),90.56279184074711,3685,4069
13,8,8,1,tensor(0.0068),88.39262529213191,3404,3851
14,8,8,1,tensor(0.0066),90.09646302250803,2802,3110
0,9,9,1,tensor(0.0056),91.01434684117795,3616,3973
1,9,9,1,tensor(0.0060),91.2199124726477,3335,3656
2,9,9,1,tensor(0.0065),90.44752682543836,3456,3821
3,9,9,1,tensor(0.0049),92.42880296364899,3992,4319
4,9,9,1,tensor(0.0052),92.40218380345769,4062,4396
5,9,9,1,tensor(0.0063),90.75127207422928,3032,3341
6,9,9,1,tensor(0.0048),92.09792993630573,4627,5024
7,9,9,1,tensor(0.0061),90.30486130184016,3288,3641
8,9,9,1,tensor(0.0052),91.53371623058923,4303,4701
9,9,9,1,tensor(0.0060),89.7737556561086,2976,3315
10,9,9,1,tensor(0.0061),90.88791848617176,3122,3435
11,9,9,1,tensor(0.0054),91.03906050548889,3566,3917
12,9,9,1,tensor(0.0056),91.52125829442124,3724,4069
13,9,9,1,tensor(0.0051),91.11918982082577,3509,3851
14,9,9,1,tensor(0.0052),92.41157556270096,2874,3110
0,10,10,1,tensor(0.0043),93.07827837905864,3698,3973
1,10,10,1,tensor(0.0051),92.39606126914661,3378,3656
2,10,10,1,tensor(0.0047),92.51504841664486,3535,3821
3,10,10,1,tensor(0.0045),93.30863625839315,4030,4319
4,10,10,1,tensor(0.0044),92.37943585077343,4061,4396
5,10,10,1,tensor(0.0062),91.23017060760252,3048,3341
6,10,10,1,tensor(0.0042),92.89410828025477,4667,5024
7,10,10,1,tensor(0.0057),90.82669596264762,3307,3641
8,10,10,1,tensor(0.0045),92.81004041693257,4363,4701
9,10,10,1,tensor(0.0053),91.04072398190046,3018,3315
10,10,10,1,tensor(0.0057),90.33478893740903,3103,3435
11,10,10,1,tensor(0.0053),91.6262445749298,3589,3917
12,10,10,1,tensor(0.0041),93.3398869501106,3798,4069
13,10,10,1,tensor(0.0046),92.78109581926772,3573,3851
14,10,10,1,tensor(0.0051),91.92926045016078,2859,3110
0,11,11,1,tensor(0.0041),93.10344827586206,3699,3973
1,11,11,1,tensor(0.0047),92.5054704595186,3382,3656
2,11,11,1,tensor(0.0042),93.58806595132164,3576,3821
3,11,11,1,tensor(0.0036),94.32739059967585,4074,4319
4,11,11,1,tensor(0.0037),94.10828025477707,4137,4396
5,11,11,1,tensor(0.0047),91.79886261598324,3067,3341
6,11,11,1,tensor(0.0038),93.59076433121018,4702,5024
7,11,11,1,tensor(0.0046),92.14501510574019,3355,3641
8,11,11,1,tensor(0.0041),93.66092320782812,4403,4701
9,11,11,1,tensor(0.0054),91.04072398190046,3018,3315
10,11,11,1,tensor(0.0037),93.56622998544395,3214,3435
11,11,11,1,tensor(0.0040),93.4899157518509,3662,3917
12,11,11,1,tensor(0.0043),93.75768001966085,3815,4069
13,11,11,1,tensor(0.0040),93.32640872500649,3594,3851
14,11,11,1,tensor(0.0043),93.2154340836013,2899,3110
0,12,12,1,tensor(0.0042),92.82657941102441,3688,3973
1,12,12,1,tensor(0.0046),92.45076586433261,3380,3656
2,12,12,1,tensor(0.0036),94.03297566082178,3593,3821
3,12,12,1,tensor(0.0042),93.84116693679093,4053,4319
4,12,12,1,tensor(0.0030),95.24567788898999,4187,4396
5,12,12,1,tensor(0.0048),92.75665968272972,3099,3341
6,12,12,1,tensor(0.0037),93.31210191082803,4688,5024
7,12,12,1,tensor(0.0039),93.2710793737984,3396,3641
8,12,12,1,tensor(0.0033),94.29908530099979,4433,4701
9,12,12,1,tensor(0.0040),93.39366515837104,3096,3315
10,12,12,1,tensor(0.0036),93.82823871906841,3223,3435
11,12,12,1,tensor(0.0042),93.00485065100843,3643,3917
12,12,12,1,tensor(0.0034),94.29835340378472,3837,4069
13,12,12,1,tensor(0.0037),93.76785250584264,3611,3851
14,12,12,1,tensor(0.0036),94.2443729903537,2931,3110
0,13,13,1,tensor(0.0035),94.18575383840925,3742,3973
1,13,13,1,tensor(0.0038),94.17396061269146,3443,3656
2,13,13,1,tensor(0.0030),94.92279507982204,3627,3821
3,13,13,1,tensor(0.0031),94.8367677703172,4096,4319
4,13,13,1,tensor(0.0034),94.35850773430391,4148,4396
5,13,13,1,tensor(0.0039),93.59473211613289,3127,3341
6,13,13,1,tensor(0.0037),93.76990445859873,4711,5024
7,13,13,1,tensor(0.0038),93.40840428453721,3401,3641
8,13,13,1,tensor(0.0035),94.06509253350352,4422,4701
9,13,13,1,tensor(0.0036),93.5444947209653,3101,3315
10,13,13,1,tensor(0.0038),93.7117903930131,3219,3435
11,13,13,1,tensor(0.0037),93.4643860097013,3661,3917
12,13,13,1,tensor(0.0035),95.23224379454412,3875,4069
13,13,13,1,tensor(0.0036),93.6120488184887,3605,3851
14,13,13,1,tensor(0.0033),94.14790996784565,2928,3110
0,14,14,1,tensor(0.0032),94.41228290964007,3751,3973
1,14,14,1,tensor(0.0038),93.98249452954049,3436,3656
2,14,14,1,tensor(0.0026),95.39387594870453,3645,3821
3,14,14,1,tensor(0.0032),94.72100023153509,4091,4319
4,14,14,1,tensor(0.0026),95.63239308462238,4204,4396
5,14,14,1,tensor(0.0029),94.97156539958095,3173,3341
6,14,14,1,tensor(0.0029),94.70541401273886,4758,5024
7,14,14,1,tensor(0.0036),93.38093930238945,3400,3641
8,14,14,1,tensor(0.0029),94.23526909168261,4430,4701
9,14,14,1,tensor(0.0033),94.50980392156862,3133,3315
10,14,14,1,tensor(0.0034),94.03202328966522,3230,3435
11,14,14,1,tensor(0.0032),94.30686750063825,3694,3917
12,14,14,1,tensor(0.0026),95.52715654952077,3887,4069
13,14,14,1,tensor(0.0033),94.0275253180992,3621,3851
14,14,14,1,tensor(0.0033),94.85530546623794,2950,3110
0,15,15,1,tensor(0.0027),95.54492826579411,3796,3973
1,15,15,1,tensor(0.0029),95.21334792122538,3481,3656
2,15,15,1,tensor(0.0028),95.3415336299398,3643,3821
3,15,15,1,tensor(0.0025),95.50821949525353,4125,4319
4,15,15,1,tensor(0.0027),95.49590536851683,4198,4396
5,15,15,1,tensor(0.0028),95.00149655791678,3174,3341
6,15,15,1,tensor(0.0029),94.82484076433121,4764,5024
7,15,15,1,tensor(0.0033),94.23235374897007,3431,3641
8,15,15,1,tensor(0.0024),95.89449053392896,4508,4701
9,15,15,1,tensor(0.0030),94.3891402714932,3129,3315
10,15,15,1,tensor(0.0026),95.45851528384279,3279,3435
11,15,15,1,tensor(0.0028),94.86852182792954,3716,3917
12,15,15,1,tensor(0.0024),95.84664536741214,3900,4069
13,15,15,1,tensor(0.0026),95.04024928589978,3660,3851
14,15,15,1,tensor(0.0028),95.01607717041801,2955,3110
0,16,16,1,tensor(0.0027),95.16737981374276,3781,3973
1,16,16,1,tensor(0.0024),95.59628008752735,3495,3656
2,16,16,1,tensor(0.0027),95.5509029049987,3651,3821
3,16,16,1,tensor(0.0025),95.83236860384349,4139,4319
4,16,16,1,tensor(0.0023),95.90536851683349,4216,4396
5,16,16,1,tensor(0.0029),94.94163424124513,3172,3341
6,16,16,1,tensor(0.0028),94.70541401273886,4758,5024
7,16,16,1,tensor(0.0026),95.44081296347157,3475,3641
8,16,16,1,tensor(0.0027),95.53286534779835,4491,4701
9,16,16,1,tensor(0.0031),94.26847662141779,3125,3315
10,16,16,1,tensor(0.0026),95.31295487627366,3274,3435
11,16,16,1,tensor(0.0023),95.78759254531529,3752,3917
12,16,16,1,tensor(0.0022),95.9203735561563,3903,4069
13,16,16,1,tensor(0.0028),94.85847831732018,3653,3851
14,16,16,1,tensor(0.0025),95.4983922829582,2970,3110
0,17,17,1,tensor(0.0025),95.39390888497357,3790,3973
1,17,17,1,tensor(0.0024),96.00656455142233,3510,3656
2,17,17,1,tensor(0.0021),96.20518188955771,3676,3821
3,17,17,1,tensor(0.0022),96.34174577448483,4161,4319
4,17,17,1,tensor(0.0021),96.13284804367606,4226,4396
5,17,17,1,tensor(0.0023),95.68991319964083,3197,3341
6,17,17,1,tensor(0.0025),95.26273885350318,4786,5024
7,17,17,1,tensor(0.0025),95.60560285635815,3481,3641
8,17,17,1,tensor(0.0026),95.25632844075729,4478,4701
9,17,17,1,tensor(0.0026),95.32428355957768,3160,3315
10,17,17,1,tensor(0.0023),95.86608442503639,3293,3435
11,17,17,1,tensor(0.0023),96.06841970896095,3763,3917
12,17,17,1,tensor(0.0022),96.0186778078152,3907,4069
13,17,17,1,tensor(0.0022),95.92313684757205,3694,3851
14,17,17,1,tensor(0.0025),95.4983922829582,2970,3110
0,18,18,1,tensor(0.0019),96.5013843443242,3834,3973
1,18,18,1,tensor(0.0023),95.67833698030634,3498,3656
2,18,18,1,tensor(0.0022),95.76027218005758,3659,3821
3,18,18,1,tensor(0.0021),95.87867561935633,4141,4319
4,18,18,1,tensor(0.0024),95.56414922656961,4201,4396
5,18,18,1,tensor(0.0022),95.86950014965579,3203,3341
6,18,18,1,tensor(0.0023),95.36226114649682,4791,5024
7,18,18,1,tensor(0.0021),95.96264762427904,3494,3641
8,18,18,1,tensor(0.0023),95.66049776643267,4497,4701
9,18,18,1,tensor(0.0022),95.5052790346908,3166,3315
10,18,18,1,tensor(0.0018),96.44832605531295,3313,3435
11,18,18,1,tensor(0.0020),96.06841970896095,3763,3917
12,18,18,1,tensor(0.0020),96.28901449987713,3918,4069
13,18,18,1,tensor(0.0021),95.8971695663464,3693,3851
14,18,18,1,tensor(0.0018),96.78456591639872,3010,3110
0,19,19,1,tensor(0.0020),95.82179713063177,3807,3973
1,19,19,1,tensor(0.0024),95.51422319474835,3492,3656
2,19,19,1,tensor(0.0018),96.54540696152839,3689,3821
3,19,19,1,tensor(0.0018),96.64274137531837,4174,4319
4,19,19,1,tensor(0.0018),96.29208371246588,4233,4396
5,19,19,1,tensor(0.0022),95.71984435797665,3198,3341
6,19,19,1,tensor(0.0019),96.39729299363057,4843,5024
7,19,19,1,tensor(0.0022),95.82532271354025,3489,3641
8,19,19,1,tensor(0.0020),96.66028504573495,4544,4701
9,19,19,1,tensor(0.0028),94.7209653092006,3140,3315
10,19,19,1,tensor(0.0020),95.86608442503639,3293,3435
11,19,19,1,tensor(0.0025),95.2004084758744,3729,3917
12,19,19,1,tensor(0.0017),96.70680756942738,3935,4069
13,19,19,1,tensor(0.0025),94.67670734874059,3646,3851
14,19,19,1,tensor(0.0017),96.91318327974277,3014,3110
0,20,20,1,tensor(0.0018),96.65240372514474,3840,3973
1,20,20,1,tensor(0.0023),96.1706783369803,3516,3656
2,20,20,1,tensor(0.0017),96.54540696152839,3689,3821
3,20,20,1,tensor(0.0021),95.83236860384349,4139,4319
4,20,20,1,tensor(0.0020),96.51956323930845,4243,4396
5,20,20,1,tensor(0.0024),95.74977551631248,3199,3341
6,20,20,1,tensor(0.0020),95.99920382165605,4823,5024
7,20,20,1,tensor(0.0022),95.93518264213128,3493,3641
8,20,20,1,tensor(0.0019),96.59646883641778,4541,4701
9,20,20,1,tensor(0.0020),96.22926093514329,3190,3315
10,20,20,1,tensor(0.0018),96.30276564774381,3308,3435
11,20,20,1,tensor(0.0022),95.78759254531529,3752,3917
12,20,20,1,tensor(0.0016),96.70680756942738,3935,4069
13,20,20,1,tensor(0.0022),95.81926772266944,3690,3851
14,20,20,1,tensor(0.0018),96.36655948553054,2997,3110
0,21,21,1,tensor(0.0021),96.55172413793103,3836,3973
1,21,21,1,tensor(0.0022),96.11597374179432,3514,3656
