model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,1,2.2962160251546577,7.6854632410187955,691,8991
global,global_in_1_trigger,,1,2.2962160624912564,7.6854632410187955,691,8991
global,global_in_10_trigger,,1,2.2962160523085475,7.6854632410187955,691,8991
global,global_in_20_trigger,,1,2.2962160514599885,7.6854632410187955,691,8991
global,global_in_30_trigger,,1,2.2962160523085475,7.6854632410187955,691,8991
global,global_in_40_trigger,,1,2.296216045520075,7.6854632410187955,691,8991
global,global_in_50_trigger,,1,2.2962160641883744,7.6854632410187955,691,8991
global,global_in_60_trigger,,1,2.2962160166690673,7.6854632410187955,691,8991
global,global_in_70_trigger,,1,2.29621606843117,7.6854632410187955,691,8991
global,global_in_80_trigger,,1,2.296216082856674,7.6854632410187955,691,8991
global,global_in_90_trigger,,1,2.296216069279729,7.6854632410187955,691,8991
global,combine,,2,2.264357670251632,13.424535646757867,1207,8991
global,global_in_1_trigger,,2,2.264357673645868,13.424535646757867,1207,8991
global,global_in_10_trigger,,2,2.264357660917482,13.424535646757867,1207,8991
global,global_in_20_trigger,,2,2.264357668554514,13.424535646757867,1207,8991
global,global_in_30_trigger,,2,2.2643576651602775,13.424535646757867,1207,8991
global,global_in_40_trigger,,2,2.2643576100039384,13.424535646757867,1207,8991
global,global_in_50_trigger,,2,2.264357661766041,13.424535646757867,1207,8991
global,global_in_60_trigger,,2,2.264357670251632,13.424535646757867,1207,8991
global,global_in_70_trigger,,2,2.2643576770401044,13.424535646757867,1207,8991
global,global_in_80_trigger,,2,2.2643576804343404,13.424535646757867,1207,8991
global,global_in_90_trigger,,2,2.2643576761915454,13.424535646757867,1207,8991
50,50_trigger,,3,0.38711610358544446,88.43287732176621,7951,8991
global,combine,,3,2.141537462348416,48.403959515070625,4352,8991
global,global_in_1_trigger,,3,2.1415374648940935,48.403959515070625,4352,8991
global,global_in_10_trigger,,3,2.141537471682566,48.403959515070625,4352,8991
global,global_in_20_trigger,,3,2.141537418223345,48.403959515070625,4352,8991
global,global_in_30_trigger,,3,2.1415374971393377,48.403959515070625,4352,8991
global,global_in_40_trigger,,3,2.1415374657426525,48.403959515070625,4352,8991
global,global_in_50_trigger,,3,2.141537439437321,48.403959515070625,4352,8991
global,global_in_60_trigger,,3,2.1415374886537473,48.403959515070625,4352,8991
global,global_in_70_trigger,,3,2.141537447074353,48.403959515070625,4352,8991
global,global_in_80_trigger,,3,2.141537472531125,48.403959515070625,4352,8991
global,global_in_90_trigger,,3,2.1415374538628256,48.403959515070625,4352,8991
global,combine,,4,2.235147096253969,39.12801690579468,3518,8991
global,global_in_1_trigger,,4,2.2351470886169373,39.12801690579468,3518,8991
global,global_in_10_trigger,,4,2.235147116619386,39.12801690579468,3518,8991
global,global_in_20_trigger,,4,2.235147060614488,39.12801690579468,3518,8991
global,global_in_30_trigger,,4,2.2351471234078586,39.12801690579468,3518,8991
global,global_in_40_trigger,,4,2.2351471200136226,39.12801690579468,3518,8991
global,global_in_50_trigger,,4,2.2351470801313464,39.12801690579468,3518,8991
global,global_in_60_trigger,,4,2.2351470894654963,39.12801690579468,3518,8991
global,global_in_70_trigger,,4,2.235147127650654,39.12801690579468,3518,8991
global,global_in_80_trigger,,4,2.2351471030424412,39.12801690579468,3518,8991
global,global_in_90_trigger,,4,2.2351471106794727,39.12801690579468,3518,8991
60,60_trigger,,5,0.3132421121012845,91.02435769102436,8184,8991
global,combine,,5,2.0848381374267064,44.28873317762206,3982,8991
global,global_in_1_trigger,,5,2.084838107727139,44.28873317762206,3982,8991
global,global_in_10_trigger,,5,2.0848381153641706,44.28873317762206,3982,8991
global,global_in_20_trigger,,5,2.0848381043329027,44.28873317762206,3982,8991
global,global_in_30_trigger,,5,2.084838121304084,44.28873317762206,3982,8991
global,global_in_40_trigger,,5,2.0848381179098476,44.28873317762206,3982,8991
global,global_in_50_trigger,,5,2.0848381200312454,44.28873317762206,3982,8991
global,global_in_60_trigger,,5,2.084838133183911,44.28873317762206,3982,8991
global,global_in_70_trigger,,5,2.084838108575698,44.28873317762206,3982,8991
global,global_in_80_trigger,,5,2.084838093301635,44.28873317762206,3982,8991
global,global_in_90_trigger,,5,2.0848381374267064,44.28873317762206,3982,8991
global,combine,,6,2.2060713812024373,45.40095651206762,4082,8991
