model,epoch,average_loss,accuracy,correct_data,total_data
global,1,2.2651068638965026,15.02613724835947,1351,8991
global,2,2.1957270219506073,23.401178956734512,2104,8991
global,3,2.1085820665296917,42.64264264264264,3834,8991
global,4,2.0175170168676706,56.06717828940051,5041,8991
4,5,1.5491174289082648,61.39472806139473,5520,8991
global,5,1.977016370482896,60.09342676009343,5403,8991
4,6,1.5270759536697343,62.86286286286287,5652,8991
global,6,1.9281440296158245,63.05194082971861,5669,8991
global,7,1.9016338488825197,62.417973529084634,5612,8991
global,8,1.8676250739061002,63.64141919697476,5722,8991
global,9,1.8397220827530547,64.8537426315204,5831,8991
global,10,1.8247839777372317,64.66466466466466,5814,8991
global,11,1.81648071784621,64.54232009787565,5803,8991
2,12,1.447539138921229,66.51095539984428,5980,8991
4,12,1.426984576756797,68.76876876876878,6183,8991
global,12,1.725829847316935,70.15904793682571,6308,8991
global,13,1.6826390141362064,70.87087087087087,6372,8991
2,14,1.3738311612291816,67.54532310087865,6073,8991
global,14,1.6427006891738745,71.73840507173841,6450,8991
4,15,1.326744388041063,70.22578133689244,6314,8991
1,15,1.3882093033924767,57.579802024246476,5177,8991
global,15,1.6177219352259704,72.39461683906129,6509,8991
global,16,1.610065994373008,72.60593927260594,6528,8991
global,17,1.5719788654960842,72.1388054721388,6486,8991
global,18,1.525414303192081,72.3167612056501,6502,8991
3,19,1.3058012324967383,71.96084973862752,6470,8991
global,19,1.5120754320435073,73.19541763986209,6581,8991
global,20,1.4611730468430941,73.80714047380714,6636,8991
global,21,1.4274331980533321,73.29551773996218,6590,8991
global,22,1.4076804669252585,73.32888443999556,6593,8991
global,23,1.3736539086965656,73.4957179401624,6608,8991
global,24,1.3454645326784305,73.0174619063508,6565,8991
3,25,1.1875348600791276,74.06295184072962,6659,8991
global,25,1.3118810525341966,73.57357357357357,6615,8991
4,26,1.1029851084197804,77.37737737737737,6957,8991
3,26,1.1638647674944096,74.56345234123012,6704,8991
global,26,1.2802725537257365,74.32988544099656,6683,8991
2,27,1.101780628046938,76.76565454343233,6902,8991
global,27,1.2703556955596547,74.76365254143032,6722,8991
global,28,1.238949773680473,74.8971193415638,6734,8991
global,29,1.2189748533017881,74.9193638082527,6736,8991
global,30,1.2058856422306368,75.00834167500834,6744,8991
4,31,1.0276775510726655,79.21254587921254,7122,8991
global,31,1.188509590115832,75.44210877544211,6783,8991
global,32,1.1715663209426603,75.28639750861973,6769,8991
global,33,1.153964793107995,75.43098654209766,6782,8991
global,34,1.1337908062888735,75.2975197419642,6770,8991
1,35,1.0313823209059754,73.2399065732399,6585,8991
global,35,1.1184341944890854,75.48659770881994,6787,8991
4,36,0.9694268399835654,79.91324657991325,7185,8991
global,36,1.1084919024622224,75.70904237570905,6807,8991
5,37,0.9778648879660368,80.39150261372484,7228,8991
global,37,1.1025497013092465,75.84250917584251,6819,8991
global,38,1.092824018832879,75.6200645089534,6799,8991
3,39,0.9879662941512748,78.7231676120565,7078,8991
5,39,0.967334616212078,80.39150261372484,7228,8991
global,39,1.0701512521398624,75.84250917584251,6819,8991
global,40,1.0632806904601542,75.83138694249806,6818,8991
global,41,1.0529588719069818,75.93148704259815,6827,8991
global,42,1.03694901642976,76.07607607607608,6840,8991
global,43,1.027850856108523,75.73128684239795,6809,8991
1,44,0.9466110902399524,75.82026470915359,6817,8991
global,44,1.0134685784926365,76.07607607607608,6840,8991
1,45,0.9344240921965803,75.99822044266489,6833,8991
5,45,0.8990534181099502,81.77065954843734,7352,8991
global,45,0.9955142668947974,76.23178734289844,6854,8991
2,46,0.879727470186658,81.9263708152597,7366,8991
global,46,0.9837579914916544,76.42086530975419,6871,8991
global,47,0.9813777476817638,76.30964297630965,6861,8991
global,48,0.9695967079309399,76.42086530975419,6871,8991
global,49,0.9626175349340226,76.34300967634302,6864,8991
global,50,0.9511760634875327,76.43198754309866,6872,8991
