AR,IA,FL,MA,IN,MN,CA,AZ,KY,GA
0.0,1.0,0.5073443339127027,0.0,0.0,0.011495342949806864,0.9317852429014171,1.0,0.0,0.0
0.8271293010990787,0.30160067547790886,0.649518024041944,0.782509934409593,0.9140316629051327,0.7344365234620776,0.576560568266272,0.3502968891545393,0.8847097040272696,0.9140316629051327
IN,MN,0.,KY,ID,AZ,MD,CA,MA,DC
0.0,0.0,1.0,0.0,0.9126583695805213,0.708067207159707,0.7718969928628873,1.0,1.0,0.5959933173047195
0.9332047755703132,0.9332047755703132,0.5590352670351639,0.8991253445890673,0.6411301184358473,0.6708876893493754,0.6615071240806154,0.4228037179003347,0.4035983191334646,0.6874974960807887
