model,epoch,average_loss,accuracy,correct_data,total_data
global,1,2.174802869037929,27.03814926037148,2431,8991
global,2,2.069638023677703,47.71438104771438,4290,8991
global,3,1.9671786739674788,60.3492381270159,5426,8991
global,4,1.9497745010296212,62.54031809587365,5623,8991
7,5,1.513790342755,58.080302524746976,5222,8991
4,5,1.4630143678224123,57.85785785785785,5202,8991
global,5,1.9146863971108152,65.26526526526526,5868,8991
4,6,1.4313447040281655,63.80825269714159,5737,8991
8,6,1.4794297165818162,62.66266266266266,5634,8991
global,6,1.8988086266401492,66.7334000667334,6000,8991
10,7,1.430738668661337,66.23289956623289,5955,8991
7,7,1.4894380438992052,58.65865865865866,5274,8991
global,7,1.880698905692802,67.33400066733401,6054,8991
9,8,1.4521487718322705,67.33400066733401,6054,8991
global,8,1.8692342982834722,68.2349015682349,6135,8991
global,9,1.84496002231208,68.34612390167946,6145,8991
global,10,1.8334921140079967,68.42397953509065,6152,8991
6,11,1.4385350222794953,63.65254143031921,5723,8991
global,11,1.8134471217433255,69.0357023690357,6207,8991
2,12,1.4371128763244039,63.32999666333,5694,8991
6,12,1.439721052432641,59.99332665999333,5394,8991
4,12,1.3906929844306926,62.0286953620287,5577,8991
global,12,1.7903963143509178,70.08119230341453,6301,8991
10,13,1.3593626241903525,73.4957179401624,6608,8991
7,13,1.4177901257716592,66.19953286619953,5952,8991
global,13,1.7792336802609359,70.0367033700367,6297,8991
2,14,1.4229364201033716,62.417973529084634,5612,8991
global,14,1.769170642946549,70.49271493715938,6338,8991
4,15,1.3957407042017875,58.736514292069856,5281,8991
1,15,1.4094361398684383,65.37648759870982,5878,8991
global,15,1.7455865238203698,71.05994883772662,6389,8991
8,16,1.3766473883212096,68.82437993549104,6188,8991
global,16,1.7279194774676478,71.09331553775998,6392,8991
10,17,1.33600337788282,72.58369480591703,6526,8991
global,17,1.7017990814911592,72.1388054721388,6486,8991
global,18,1.6399050061210299,73.57357357357357,6615,8991
8,19,1.3161086790050684,70.79301523745968,6365,8991
6,19,1.3098500743616066,71.96084973862752,6470,8991
3,19,1.3108671267058345,74.0184629073518,6655,8991
global,19,1.5725560570675385,75.74240907574242,6810,8991
global,20,1.5185533565351104,76.55433210988767,6883,8991
global,21,1.471087361453386,75.25303080858636,6766,8991
8,22,1.2021206531306154,74.0184629073518,6655,8991
global,22,1.4583686868495558,75.5422088755422,6792,8991
global,23,1.4137951173422771,75.1195640084529,6754,8991
global,24,1.3732788540765157,74.48559670781893,6697,8991
6,25,1.1433254475721382,74.47447447447448,6696,8991
8,25,1.1426385194941577,73.85162940718496,6640,8991
3,25,1.155402530063022,73.72928484039595,6629,8991
global,25,1.331440206550409,75.4977199421644,6788,8991
4,26,1.1086985618091507,74.22978534089644,6674,8991
3,26,1.120580284365583,76.19842064286509,6851,8991
global,26,1.3244832225244179,75.53108664219775,6791,8991
2,27,1.1129776253847163,77.01034367701034,6924,8991
global,27,1.3180223914065705,75.87587587587588,6822,8991
6,28,1.1118156709735723,75.14180847514181,6756,8991
global,28,1.3116524702396082,76.5432098765432,6882,8991
global,29,1.2772179829399442,76.26515404293181,6857,8991
10,30,1.0609381205512425,77.63318874429986,6980,8991
8,30,1.083816977632336,76.26515404293181,6857,8991
global,30,1.242051176865206,76.78789901012124,6904,8991
9,31,1.0650045191031146,76.18729840952064,6850,8991
4,31,1.0479492566805901,75.24190857524191,6765,8991
global,31,1.2380986129358524,76.9436102769436,6918,8991
global,32,1.2363048727845685,76.6210655099544,6889,8991
global,33,1.2113770811725626,75.95373150928707,6829,8991
global,34,1.1850579017500844,75.76465354243132,6812,8991
1,35,1.011745079514872,79.51284617951285,7149,8991
global,35,1.1775425620424298,75.98709820932044,6832,8991
4,36,0.9870727415172876,78.65643421198976,7072,8991
global,36,1.1693153271034977,75.98709820932044,6832,8991
5,37,1.0036629821179959,78.91224557891225,7095,8991
global,37,1.16408178902033,76.39862084306529,6869,8991
global,38,1.1428300218791112,76.28739850962073,6859,8991
3,39,0.9990192748935187,77.74441107774442,6990,8991
5,39,0.9904853172501658,78.13368924480035,7025,8991
global,39,1.1394792114875563,76.17617617617618,6849,8991
global,40,1.137310258884237,76.15393170948727,6847,8991
global,41,1.134412100020485,76.04270937604271,6837,8991
10,42,0.9645563264986178,79.70192414636858,7166,8991
global,42,1.1276917116565892,76.25403180958736,6856,8991
global,43,1.12631207935909,75.96485374263152,6830,8991
1,44,0.9695794512095646,80.64731398064731,7251,8991
9,44,0.9758378912325683,78.93449004560115,7097,8991
6,44,0.9797055801630895,78.5229674118563,7060,8991
global,44,1.116560524316906,76.00934267600934,6834,8991
1,45,0.9660187497338919,81.33689244800357,7313,8991
5,45,0.9685875013638041,78.24491157824491,7035,8991
global,45,1.1153554970477477,75.75353130908687,6811,8991
7,46,0.9749479899482273,77.84451117784451,6999,8991
10,46,0.9497517324928553,80.10232454676898,7202,8991
2,46,0.9702314288368773,78.37837837837837,7047,8991
global,46,1.0961719301223967,76.40974307640974,6870,8991
7,47,0.9574761257568333,79.17917917917919,7119,8991
global,47,1.0902061517558683,76.60994327660995,6888,8991
global,48,1.088551033910158,76.43198754309866,6872,8991
10,49,0.925386272061721,81.59270381492604,7336,8991
global,49,1.0810882497080414,76.60994327660995,6888,8991
7,50,0.9444528362692933,80.19130241352464,7210,8991
global,50,1.075895427185812,76.83238794349906,6908,8991
